bedfile	batch_vec
GSM3476016_KZ1352_GB2152_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476017_KZ1352_GB2153_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476018_KZ1352_GB2154_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476019_KZ1352_GB2155_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476020_KZ1352_GB2156_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476021_KZ1352_GB2157_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476022_KZ1352_GB2158_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476023_KZ1352_GB2159_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476024_KZ1352_GB2160_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476025_KZ1352_GB2161_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476026_KZ1352_GB2162_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476028_KZ1352_GB2164_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476029_KZ1352_GB2165_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476030_KZ1352_GB2166_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476031_KZ1352_GB2167_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476034_KZ1352_GB2170_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476035_KZ1352_GB2171_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476036_KZ1352_GB2172_sc1_0_30_mapq10_noDup_filtered.txt	6
GSM3476037_KZ1353_GB2001_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476038_KZ1353_GB2002_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476039_KZ1353_GB2003_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476040_KZ1353_GB2004_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476041_KZ1353_GB2005_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476042_KZ1353_GB2006_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476043_KZ1353_GB2007_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476044_KZ1353_GB2008_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476045_KZ1353_GB2009_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476046_KZ1353_GB2010_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476047_KZ1353_GB2011_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476048_KZ1353_GB2012_sc1_0_30_mapq10_noDup_filtered.txt	7
GSM3476049_KZ1353_GB2013_sc1_0_30_mapq10_noDup_filtered.txt	7
