"KZ1279_GB1420_0_0_mapq10_noDup.bed" "KZ1279_GB1422_0_0_mapq10_noDup.bed" "KZ1279_GB1424_0_0_mapq10_noDup.bed"
"764" 7 5 0
"765" 4 3 0
"766" 7 1 0
"767" 12 1 0
"768" 18 8 2
"769" 20 3 1
"770" 172 34 22
"771" 11 1 4
"772" 10 1 1
"773" 7 3 0
"774" 14 0 0
"775" 21 2 1
"776" 166 37 12
"777" 14 1 1
"778" 9 0 0
"779" 60 10 7
"780" 148 24 10
"781" 114 13 4
"782" 94 21 8
"783" 72 15 13
"784" 26 35 27
"785" 4 0 2
"786" 12 0 0
"787" 8 6 8
"788" 1 0 2
"789" 248 40 31
"790" 22 8 1
"791" 25 4 7
"792" 237 44 28
"793" 27 5 3
"794" 115 38 11
"795" 6 1 1
"796" 60 13 7
"797" 23 11 5
"798" 16 7 8
"799" 34 21 36
"800" 50 12 1
"801" 146 22 9
"802" 121 10 12
"803" 4 5 1
"804" 380 67 27
"805" 15 2 1
"806" 11 3 8
"807" 120 5 2
"808" 138 24 21
"809" 33 15 7
"810" 28 15 2
"811" 137 20 14
"812" 24 15 1
"813" 179 24 30
"814" 198 17 6
"815" 31 3 0
"816" 15 21 4
"817" 26 8 0
"818" 29 6 0
"819" 303 17 5
"820" 190 13 2
"821" 140 7 9
"822" 35 1 3
"823" 123 12 2
"824" 65 19 8
"825" 78 28 11
"826" 4 7 0
"827" 14 7 0
"828" 69 26 9
"829" 65 10 4
"830" 63 12 7
"831" 364 59 44
"832" 5 3 2
"833" 2 5 2
"834" 8 4 3
"835" 0 2 0
"836" 7 6 3
"837" 6 3 2
"838" 4 3 0
"839" 25 11 1
"840" 4 2 0
"841" 3 11 2
"842" 12 3 2
"843" 17 2 1
"844" 36 14 8
"845" 94 21 17
"846" 15 9 0
"847" 7 7 3
"848" 19 9 10
"849" 6 0 3
"850" 25 5 1
"851" 29 3 1
"852" 55 12 3
"853" 22 3 2
"854" 10 4 1
"855" 18 8 16
"856" 17 11 11
"857" 161 38 40
"858" 20 4 10
"859" 67 13 11
"860" 14 12 0
"861" 13 1 0
"862" 10 7 3
"863" 8 2 2
"864" 2 2 2
"865" 82 20 10
"866" 90 36 9
"867" 105 15 9
"868" 78 20 8
"869" 68 20 13
"870" 43 10 12
"871" 81 27 9
"872" 0 7 0
"873" 4 5 1
"874" 64 12 2
"875" 17 2 3
"876" 8 0 0
"877" 19 3 1
"878" 57 10 10
"879" 48 12 8
"880" 15 1 1
"881" 49 16 17
"882" 134 30 15
"883" 19 11 1
"884" 43 12 8
"885" 112 25 6
"886" 29 7 0
"887" 19 3 0
"888" 17 3 0
"889" 94 12 1
"890" 110 20 8
"891" 15 3 1
"892" 12 12 6
"893" 3 4 3
"894" 290 42 3
"895" 56 6 1
"896" 40 8 4
"897" 0 2 0
"898" 102 17 8
"899" 439 58 8
"900" 20 3 0
"901" 10 5 1
"902" 6 8 5
"903" 7 12 1
"904" 20 3 2
"905" 8 3 1
"906" 90 13 8
"907" 2 8 1
"908" 16 7 3
"909" 89 40 52
"910" 15 4 7
"911" 7 2 0
"912" 11 3 1
"913" 18 6 1
"914" 80 18 9
"915" 5 12 2
"916" 151 27 14
"917" 12 1 0
"918" 32 7 7
"919" 28 10 1
"920" 6 0 2
"921" 7 5 5
"922" 15 2 0
"923" 157 24 19
"924" 12 3 3
"925" 71 7 9
"926" 81 10 8
"927" 7 6 0
"928" 5 9 0
"929" 4 19 0
"930" 11 6 1
"931" 6 5 0
"932" 11 7 2
"933" 1 1 3
"934" 100 8 11
"935" 3 1 1
"936" 7 7 4
"937" 22 6 15
"938" 14 3 6
"939" 4 0 1
"940" 13 1 2
"941" 19 3 1
"942" 26 4 1
"943" 142 20 19
"944" 5 0 1
"945" 5 2 2
"946" 218 32 19
"947" 13 4 3
"948" 38 4 3
"949" 114 13 5
"950" 14 3 1
"951" 1 0 0
"952" 116 17 16
"953" 107 25 6
"954" 6 6 3
"955" 4 2 0
"956" 159 32 20
"957" 81 12 18
"958" 202 27 25
"959" 17 4 1
"960" 246 18 31
"961" 6 3 1
"962" 6 1 2
"963" 16 0 0
"964" 4 0 0
"965" 3 4 1
"966" 7 2 1
"967" 123 6 4
"968" 18 0 0
"969" 225 18 2
"970" 49 4 0
"971" 146 14 2
"972" 132 41 24
"973" 25 6 1
"974" 2 3 6
"975" 13 0 0
"976" 5 2 0
"977" 11 5 1
"978" 10 0 3
"979" 150 17 19
"980" 139 32 17
"981" 74 16 14
"982" 0 0 1
"983" 29 3 1
"984" 56 7 3
"985" 121 24 22
"986" 140 23 8
"987" 33 6 4
"988" 0 1 0
"989" 113 17 4
"990" 95 20 18
"991" 18 2 1
"992" 135 29 18
"993" 81 12 4
"994" 24 6 2
"995" 14 6 2
"996" 18 2 0
"997" 22 7 2
"998" 165 30 10
"999" 4 4 0
"1000" 9 4 7
"1001" 5 2 2
"1002" 169 48 10
"1003" 5 3 0
"1004" 15 1 0
"1005" 83 14 8
"1006" 45 11 15
"1007" 50 5 7
"1008" 11 2 1
"1009" 123 33 18
"1010" 34 8 9
"1011" 19 3 1
"1012" 151 13 5
"1013" 22 2 1
"1014" 71 16 5
"1015" 460 34 30
"1016" 171 15 6
"1017" 154 1 5
"1018" 121 15 8
"1019" 21 4 2
"1020" 34 10 1
"1021" 66 9 4
"1022" 104 16 8
"1023" 12 26 4
"1024" 325 30 21
"1025" 98 29 13
"1026" 140 23 17
"1027" 83 12 9
"1028" 1 6 0
"1029" 2 5 4
"1030" 17 2 3
"1031" 106 11 14
"1032" 96 22 11
"1033" 148 11 13
"1034" 173 15 11
"1035" 25 4 1
"1036" 97 12 10
"1037" 21 3 4
"1038" 18 19 13
"1039" 11 4 2
"1040" 5 3 2
"1041" 12 3 4
"1042" 6 2 0
"1043" 9 0 0
"1044" 167 23 6
"1045" 49 4 0
"1046" 13 5 0
"1047" 127 23 22
"1048" 72 10 3
"1049" 19 3 0
"1050" 16 6 3
"1051" 14 7 1
"1052" 97 16 32
"1053" 17 4 1
"1054" 92 19 6
"1055" 165 32 20
"1056" 12 4 4
"1057" 11 4 4
"1058" 6 4 2
"1059" 13 1 1
"1060" 62 11 12
"1061" 101 13 10
"1062" 190 37 21
"1063" 182 20 25
"1064" 66 16 8
"1065" 10 7 2
"1066" 28 6 2
"1067" 237 37 21
"1068" 20 5 7
"1069" 3 5 5
"1070" 161 46 15
"1071" 14 3 0
"1072" 6 2 1
"1073" 50 6 11
"1074" 23 1 0
"1075" 57 7 1
"1076" 47 17 5
"1077" 7 1 2
"1078" 35 5 0
"1079" 15 4 1
"1080" 195 10 3
"1081" 20 0 0
"1082" 10 2 2
"1083" 2 2 1
"1084" 84 16 6
"1085" 95 13 12
"1086" 9 0 0
"1087" 148 24 16
"1088" 13 3 0
"1089" 9 3 0
"1090" 21 3 1
"1091" 546 47 5
"1092" 11 7 0
"1093" 96 7 2
"1094" 117 18 13
"1095" 6 2 0
"1096" 9 5 0
"1097" 15 3 0
"1098" 46 11 4
"1099" 112 26 12
"1100" 71 20 8
"1101" 18 7 15
"1102" 11 7 5
"1103" 8 3 3
"1104" 9 7 2
"1105" 13 2 0
"1106" 194 38 16
"1107" 11 6 4
"1108" 97 25 14
"1109" 4 4 0
"1110" 17 17 10
"1111" 23 37 21
"1112" 10 5 11
"1113" 13 1 1
"1114" 15 6 1
"1115" 7 6 0
"1116" 6 2 4
"1117" 6 1 1
"1118" 16 2 0
"1119" 11 15 8
"1120" 93 17 15
"1121" 33 4 0
"1122" 138 23 2
"1123" 12 2 0
"1124" 186 37 12
"1125" 19 3 0
"1126" 92 9 8
"1127" 146 37 15
"1128" 33 15 10
"1129" 60 27 43
"1130" 8 3 8
"1131" 121 15 19
"1132" 21 5 2
"1133" 45 31 32
"1134" 14 4 4
"1135" 18 8 4
"1136" 17 9 17
"1137" 26 11 14
"1138" 120 27 14
"1139" 13 6 0
"1140" 32 9 18
"1141" 9 8 1
"1142" 17 19 3
"1143" 8 5 3
"1144" 108 21 19
"1145" 7 0 0
"1146" 2 19 1
"1147" 22 1 3
"1148" 36 10 10
"1149" 241 49 21
"1150" 38 8 3
"1151" 120 22 12
"1152" 77 7 13
"1153" 133 24 4
"1154" 14 2 2
"1155" 1 3 0
"1156" 2 3 1
"1157" 8 1 0
"1158" 19 6 2
"1159" 98 28 2
"1160" 7 1 2
"1161" 6 0 2
"1162" 76 13 6
"1163" 17 0 0
"1164" 7 3 0
"1165" 100 10 16
"1166" 312 19 3
"1167" 96 17 13
"1168" 72 9 12
"1169" 0 4 1
"1170" 1 9 1
"1171" 84 16 5
"1172" 20 1 2
"1173" 14 2 2
"1174" 97 26 5
"1175" 84 14 8
"1176" 11 6 2
"1177" 21 4 1
"1178" 16 5 1
"1179" 11 5 1
"1180" 329 60 27
"1181" 72 11 12
"1182" 25 3 1
"1183" 0 4 0
"1184" 14 5 1
"1185" 12 2 1
"1186" 168 29 11
"1187" 179 39 16
"1188" 15 3 1
"1189" 144 13 10
"1190" 134 19 15
"1191" 301 59 20
"1192" 28 5 5
"1193" 169 33 16
"1194" 162 16 12
"1195" 108 17 8
"1196" 123 28 12
"1197" 14 1 0
"1198" 230 26 14
"1199" 214 40 17
"1200" 16 10 3
"1201" 71 32 41
"1202" 214 34 27
"1203" 16 22 5
"1204" 109 19 18
"1205" 4 0 1
"1206" 7 4 1
"1207" 13 2 11
"1208" 14 5 3
"1209" 4 7 1
"1210" 2 5 4
"1211" 2 0 2
"1212" 46 11 18
"1213" 91 17 4
"1214" 34 6 1
"1215" 226 19 21
"1216" 98 19 14
"1217" 175 38 16
"1218" 141 16 11
"1219" 298 40 19
"1220" 11 2 0
"1221" 32 10 1
"1222" 35 10 1
"1223" 12 1 2
"1224" 149 26 10
"1225" 29 2 0
"1226" 28 16 3
"1227" 345 49 21
"1228" 28 7 6
"1229" 27 7 1
"1230" 15 2 4
"1231" 5 2 0
"1232" 15 9 14
"1233" 13 8 2
"1234" 7 11 4
"1235" 50 23 5
"1236" 10 2 0
"1237" 9 4 0
"1238" 3 4 1
"1239" 39 6 5
"1240" 24 8 2
"1241" 11 2 3
"1242" 6 2 6
"1243" 10 3 2
"1244" 5 1 3
"1245" 3 0 0
"1246" 2 1 1
"1247" 6 1 5
"1248" 9 6 2
"1249" 21 1 0
"1250" 3 0 0
"1251" 8 0 4
"1252" 90 2 0
"1253" 15 3 4
"1254" 13 0 0
"1255" 13 4 0
"1256" 10 21 4
"1257" 29 1 0
"1258" 14 4 0
"1259" 13 2 2
