"KZ1279_GB1420_0_0_mapq10_noDup.bed" "KZ1279_GB1422_0_0_mapq10_noDup.bed" "KZ1279_GB1424_0_0_mapq10_noDup.bed"
"15791" 117 18 7
"15792" 143 32 14
"15793" 299 45 20
"15794" 56 14 5
"15795" 179 38 8
"15796" 337 78 34
"15797" 53 15 5
"15798" 148 34 16
"15799" 25 6 1
"15800" 148 39 16
"15801" 204 47 17
"15802" 24 16 1
"15803" 58 31 5
"15804" 127 25 20
"15805" 12 15 0
"15806" 9 13 2
"15807" 10 4 0
"15808" 4 2 1
"15809" 107 15 11
"15810" 83 12 10
"15811" 113 21 10
"15812" 36 7 9
"15813" 317 84 66
"15814" 48 8 2
"15815" 57 6 4
"15816" 336 64 24
"15817" 177 34 13
"15818" 133 31 10
"15819" 23 5 2
"15820" 266 48 7
"15821" 266 43 14
"15822" 17 4 2
"15823" 52 4 2
"15824" 4 0 1
"15825" 15 1 14
"15826" 9 1 0
"15827" 89 15 16
"15828" 15 8 1
"15829" 13 6 16
"15830" 44 10 7
"15831" 31 4 7
"15832" 231 56 27
"15833" 169 41 30
"15834" 3168 1182 622
"15835" 342 131 71
"15836" 3585 1193 687
"15837" 3863 1330 789
"15838" 98 19 9
"15839" 152 28 24
"15840" 247 78 44
"15841" 121 22 37
"15842" 76 10 26
"15843" 23 6 3
"15844" 59 21 7
"15845" 40 6 1
"15846" 75 16 10
"15847" 123 21 10
"15848" 120 13 3
"15849" 143 37 13
"15850" 11 2 0
"15851" 192 42 20
"15852" 32 11 4
"15853" 15 10 4
"15854" 18 4 3
"15855" 2 3 0
"15856" 12 5 1
"15857" 47 11 6
"15858" 66 29 10
"15859" 64 8 4
"15860" 26 4 0
"15861" 11 5 1
"15862" 344 35 13
"15863" 5 9 4
"15864" 97 26 19
"15865" 28 11 8
"15866" 21 19 3
"15867" 50 24 11
"15868" 25 9 0
"15869" 9 4 1
"15870" 58 20 18
"15871" 64 14 4
"15872" 142 15 8
"15873" 117 20 8
"15874" 59 14 5
"15875" 12 10 10
"15876" 215 48 13
"15877" 35 6 5
"15878" 25 5 0
"15879" 41 2 2
"15880" 38 7 3
"15881" 7 3 1
"15882" 72 14 4
"15883" 33 7 1
"15884" 82 16 8
"15885" 87 24 14
"15886" 3 15 0
"15887" 134 26 10
"15888" 8 2 1
"15889" 67 9 5
"15890" 69 22 6
"15891" 16 16 3
"15892" 17 2 2
"15893" 20 6 3
"15894" 81 14 4
"15895" 5 3 2
"15896" 91 20 6
"15897" 286 75 22
"15898" 30 16 3
"15899" 16 8 3
"15900" 64 11 2
"15901" 88 19 10
"15902" 22 7 5
"15903" 92 23 15
"15904" 9 2 3
"15905" 17 5 1
"15906" 184 39 15
"15907" 100 19 9
"15908" 15 6 1
"15909" 21 4 2
"15910" 3 0 0
"15911" 89 18 6
"15912" 84 13 4
"15913" 88 23 6
"15914" 175 21 11
"15915" 129 25 5
"15916" 29 5 2
"15917" 28 9 1
"15918" 253 40 12
"15919" 89 18 8
"15920" 21 4 2
"15921" 14 6 0
"15922" 12 5 2
"15923" 114 10 4
"15924" 20 4 5
"15925" 63 4 1
"15926" 21 8 1
"15927" 5 15 0
"15928" 10 4 1
"15929" 142 30 13
"15930" 208 32 15
"15931" 100 21 5
"15932" 116 22 11
"15933" 15 3 1
"15934" 5 1 0
"15935" 124 27 14
"15936" 223 31 12
"15937" 70 15 3
"15938" 261 39 21
"15939" 49 16 11
"15940" 271 47 9
"15941" 122 16 5
"15942" 15 1 7
"15943" 110 34 42
"15944" 25 8 3
"15945" 273 47 12
"15946" 81 22 8
"15947" 11 1 3
"15948" 84 4 6
"15949" 6 5 1
"15950" 13 4 0
"15951" 60 20 3
"15952" 4 8 3
"15953" 10 4 2
"15954" 15 2 0
"15955" 285 26 3
"15956" 7 11 2
"15957" 5 1 3
"15958" 125 7 3
"15959" 45 8 2
"15960" 7 3 0
"15961" 6 4 2
"15962" 12 7 0
"15963" 99 19 10
"15964" 9 3 1
"15965" 70 17 5
"15966" 18 4 0
"15967" 9 1 1
"15968" 4 1 0
"15969" 5 1 1
"15970" 5 0 0
"15971" 16 3 2
"15972" 8 2 0
"15973" 5 4 0
"15974" 19 3 0
"15975" 5 2 1
"15976" 3 2 2
"15977" 36 5 9
"15978" 20 12 5
"15979" 17 0 3
"15980" 5 2 1
"15981" 90 44 76
"15982" 17 3 8
"15983" 36 17 6
"15984" 8 0 3
"15985" 15 1 4
"15986" 87 15 6
"15987" 5 1 0
"15988" 5 4 0
"15989" 196 39 4
"15990" 3 2 0
"15991" 12 17 1
"15992" 1 1 0
"15993" 9 1 0
"15994" 3 3 1
"15995" 186 22 18
"15996" 13 2 0
"15997" 15 2 0
"15998" 90 9 1
"15999" 57 20 1
"16000" 90 9 8
"16001" 20 5 2
"16002" 20 2 4
"16003" 34 8 4
"16004" 202 30 30
"16005" 191 27 21
"16006" 111 9 16
"16007" 16 1 0
"16008" 4 3 0
"16009" 17 1 0
"16010" 25 8 3
"16011" 5 4 0
"16012" 88 13 8
"16013" 16 2 1
"16014" 4 2 0
"16015" 8 2 1
"16016" 112 18 3
"16017" 17 0 0
"16018" 54 9 5
"16019" 21 8 1
"16020" 489 63 5
"16021" 2 1 1
"16022" 10 2 0
"16023" 7 3 2
"16024" 3 3 1
"16025" 9 0 0
"16026" 10 3 0
"16027" 37 3 4
"16028" 14 3 1
"16029" 17 10 0
"16030" 9 2 1
"16031" 7 4 0
"16032" 27 7 6
"16033" 47 7 1
"16034" 11 2 2
"16035" 22 11 0
"16036" 120 5 11
"16037" 266 52 21
"16038" 27 10 3
"16039" 59 19 3
"16040" 137 20 13
"16041" 47 14 0
"16042" 23 4 3
"16043" 5 1 0
"16044" 184 38 14
"16045" 203 26 25
"16046" 51 11 3
"16047" 247 37 27
"16048" 11 2 1
"16049" 71 22 2
"16050" 73 14 4
"16051" 33 8 1
"16052" 86 11 10
"16053" 58 10 4
"16054" 100 15 14
"16055" 131 31 12
"16056" 14 2 1
"16057" 139 21 23
"16058" 113 11 15
"16059" 36 3 1
"16060" 162 23 8
"16061" 62 9 5
"16062" 33 6 0
"16063" 37 9 1
"16064" 51 4 3
"16065" 29 3 3
"16066" 24 3 0
"16067" 12 3 1
"16068" 16 3 2
"16069" 31 12 3
"16070" 17 6 1
"16071" 11 5 2
"16072" 35 4 1
"16073" 16 5 2
"16074" 104 26 12
"16075" 128 9 6
"16076" 112 15 9
"16077" 6 0 1
"16078" 131 13 7
"16079" 5 3 0
"16080" 2 8 1
"16081" 23 29 1
"16082" 101 20 12
"16083" 21 3 0
"16084" 46 11 6
"16085" 9 0 2
"16086" 14 5 2
"16087" 9 2 0
"16088" 38 9 6
"16089" 17 8 3
"16090" 10 4 0
"16091" 17 6 2
"16092" 19 8 2
"16093" 48 17 19
"16094" 166 53 44
"16095" 19 5 2
"16096" 90 32 13
"16097" 117 22 16
"16098" 173 27 18
"16099" 91 14 15
"16100" 77 13 8
"16101" 2 1 2
"16102" 28 9 4
"16103" 27 12 3
"16104" 7 1 0
"16105" 243 38 19
"16106" 131 32 22
"16107" 122 15 19
"16108" 69 4 2
"16109" 181 27 20
"16110" 166 30 27
"16111" 30 9 2
"16112" 116 15 13
"16113" 10 4 0
"16114" 34 7 2
"16115" 11 2 0
"16116" 7 3 1
"16117" 10 30 4
"16118" 31 5 0
"16119" 19 3 3
"16120" 35 2 1
"16121" 12 2 1
"16122" 9 0 0
"16123" 19 3 0
"16124" 8 3 1
"16125" 8 1 1
"16126" 7 5 2
"16127" 1 0 0
"16128" 47 4 11
"16129" 100 11 10
"16130" 12 4 1
"16131" 2 0 0
"16132" 9 0 0
"16133" 4 1 1
"16134" 2 0 0
"16135" 7 9 2
"16136" 27 4 1
"16137" 20 2 2
"16138" 36 2 1
"16139" 281 18 2
"16140" 89 17 13
"16141" 200 28 31
"16142" 122 11 8
"16143" 106 12 11
"16144" 15 10 9
"16145" 87 23 5
"16146" 206 34 23
"16147" 7 1 1
"16148" 234 32 10
"16149" 8 1 0
"16150" 48 10 2
"16151" 27 23 25
"16152" 232 30 5
"16153" 17 4 0
"16154" 38 3 3
"16155" 63 9 12
"16156" 7 5 1
"16157" 151 23 27
"16158" 0 3 0
"16159" 111 13 14
"16160" 58 16 11
"16161" 4 2 0
"16162" 172 20 2
"16163" 32 5 0
"16164" 14 2 1
"16165" 109 23 11
"16166" 2 4 3
"16167" 24 13 4
"16168" 41 1 4
"16169" 8 2 1
"16170" 146 23 19
"16171" 32 6 2
"16172" 18 12 6
"16173" 25 6 12
"16174" 28 5 5
"16175" 14 7 2
"16176" 8 3 1
"16177" 88 15 16
"16178" 394 72 22
"16179" 25 5 1
"16180" 143 19 17
"16181" 317 20 6
"16182" 15 0 2
"16183" 178 16 12
"16184" 147 21 35
"16185" 27 4 6
"16186" 27 5 12
"16187" 3 4 1
"16188" 211 33 14
"16189" 35 5 3
"16190" 29 4 0
"16191" 15 2 1
"16192" 21 1 0
"16193" 1 3 0
"16194" 170 35 13
"16195" 6 12 0
"16196" 7 3 2
"16197" 2 10 1
"16198" 11 11 0
"16199" 4 2 0
"16200" 13 2 2
"16201" 4 0 2
"16202" 41 15 30
"16203" 39 6 18
"16204" 24 3 4
"16205" 14 10 16
"16206" 143 15 7
"16207" 14 4 0
"16208" 175 23 6
"16209" 20 6 0
"16210" 17 6 1
"16211" 242 34 9
"16212" 100 20 5
"16213" 35 12 4
"16214" 185 30 4
"16215" 35 8 1
"16216" 9 2 1
"16217" 16 1 1
"16218" 15 0 0
"16219" 15 5 0
"16220" 9 3 0
"16221" 12 1 1
"16222" 3 6 0
"16223" 8 0 1
"16224" 12 5 2
"16225" 2 1 0
"16226" 16 3 1
"16227" 6 0 1
"16228" 6 1 0
"16229" 30 7 5
"16230" 318 42 35
"16231" 198 38 24
"16232" 173 30 23
"16233" 13 3 1
"16234" 3 0 1
"16235" 7 1 1
"16236" 2 0 0
"16237" 4 2 0
"16238" 18 9 2
"16239" 6 2 1
"16240" 95 10 8
"16241" 100 20 12
"16242" 31 5 3
"16243" 3 4 3
"16244" 75 10 5
"16245" 65 14 8
"16246" 16 1 2
"16247" 27 8 0
"16248" 15 2 0
"16249" 11 1 1
"16250" 41 5 1
"16251" 163 22 19
"16252" 244 19 21
"16253" 17 1 4
"16254" 201 36 5
"16255" 25 4 1
"16256" 7 0 0
"16257" 14 4 0
"16258" 95 10 5
"16259" 15 2 1
"16260" 10 2 2
"16261" 117 13 13
"16262" 29 4 9
"16263" 2 4 2
"16264" 253 27 10
"16265" 52 4 1
"16266" 9 9 0
"16267" 23 30 23
"16268" 29 2 12
"16269" 10 5 1
"16270" 63 12 46
"16271" 101 18 7
"16272" 20 1 0
"16273" 31 2 1
"16274" 99 5 0
"16275" 11 2 0
"16276" 3 8 2
"16277" 49 5 2
"16278" 23 9 1
"16279" 115 18 11
"16280" 491 81 27
"16281" 307 49 15
"16282" 69 8 8
"16283" 124 20 9
"16284" 153 13 6
"16285" 183 30 10
"16286" 25 2 0
"16287" 629 93 35
"16288" 325 32 31
"16289" 6 1 4
"16290" 9 1 2
"16291" 12 0 5
"16292" 74 18 29
"16293" 9 3 1
"16294" 31 1 1
"16295" 220 22 22
"16296" 14 4 0
"16297" 453 39 28
"16298" 3 10 0
"16299" 24 9 1
"16300" 136 26 12
"16301" 30 11 2
"16302" 30 4 1
"16303" 36 6 7
"16304" 13 5 1
"16305" 67 22 7
"16306" 15 2 1
"16307" 133 11 10
"16308" 1 1 1
"16309" 20 5 2
"16310" 15 6 4
"16311" 28 8 2
"16312" 34 8 9
"16313" 104 14 9
"16314" 68 12 6
"16315" 305 51 23
"16316" 252 42 8
"16317" 25 16 4
"16318" 20 5 4
"16319" 198 18 18
"16320" 223 35 13
"16321" 9 8 2
"16322" 175 32 19
"16323" 16 4 1
"16324" 126 14 9
"16325" 16 7 0
"16326" 43 4 0
"16327" 11 2 2
"16328" 13 11 5
"16329" 121 19 2
"16330" 19 0 1
"16331" 27 1 1
"16332" 20 6 0
"16333" 74 12 5
"16334" 2 3 2
"16335" 11 6 2
"16336" 15 7 1
"16337" 46 7 6
"16338" 14 7 1
"16339" 22 12 5
"16340" 89 15 2
"16341" 76 15 1
"16342" 163 32 15
"16343" 2 4 2
"16344" 17 3 1
"16345" 16 5 3
"16346" 6 2 1
"16347" 16 0 2
"16348" 12 4 2
"16349" 4 2 0
"16350" 30 5 3
"16351" 14 6 5
"16352" 11 4 0
"16353" 143 14 16
"16354" 217 36 18
"16355" 58 11 3
"16356" 198 47 12
"16357" 105 18 10
"16358" 6 3 1
"16359" 9 34 5
"16360" 31 11 5
"16361" 89 13 11
"16362" 119 32 4
"16363" 110 24 10
"16364" 10 7 0
"16365" 201 44 15
"16366" 12 6 1
"16367" 29 10 3
"16368" 16 0 2
"16369" 27 0 3
"16370" 93 18 10
"16371" 156 38 13
"16372" 77 19 7
"16373" 27 8 0
"16374" 16 3 2
"16375" 21 3 4
"16376" 141 30 16
"16377" 1 3 2
"16378" 192 45 20
"16379" 21 3 2
"16380" 74 32 35
"16381" 35 18 18
"16382" 105 60 110
"16383" 12 8 8
"16384" 24 19 11
"16385" 164 31 14
"16386" 98 26 11
"16387" 19 8 2
"16388" 20 11 1
"16389" 106 6 1
"16390" 11 3 1
"16391" 3 1 0
"16392" 3 5 1
"16393" 7 1 2
"16394" 234 53 15
"16395" 36 12 3
"16396" 54 10 4
"16397" 131 28 12
"16398" 106 29 14
"16399" 11 11 1
"16400" 23 9 3
"16401" 23 4 1
"16402" 6 12 0
"16403" 137 18 9
"16404" 51 7 4
"16405" 2 0 1
"16406" 92 9 8
"16407" 26 3 1
"16408" 119 20 8
"16409" 143 31 29
"16410" 55 15 7
"16411" 33 12 4
"16412" 92 27 12
"16413" 75 10 0
"16414" 29 12 3
"16415" 22 5 3
"16416" 43 5 10
"16417" 27 15 12
"16418" 11 3 4
"16419" 10 1 3
"16420" 76 30 7
"16421" 20 5 2
"16422" 51 16 5
"16423" 10 6 1
"16424" 35 18 8
"16425" 13 5 0
"16426" 4 4 1
"16427" 107 11 6
"16428" 85 22 16
"16429" 9 1 3
"16430" 12 1 1
"16431" 96 27 8
"16432" 66 18 6
"16433" 144 22 11
"16434" 10 2 0
"16435" 11 0 1
"16436" 67 10 12
"16437" 19 3 4
"16438" 30 13 7
"16439" 69 16 6
"16440" 9 12 7
"16441" 18 16 12
"16442" 4 4 0
"16443" 28 6 4
"16444" 56 12 7
"16445" 352 45 5
"16446" 32 6 4
"16447" 18 1 0
"16448" 176 23 11
"16449" 346 70 24
"16450" 8 2 1
"16451" 29 3 1
"16452" 5 3 2
"16453" 6 4 0
"16454" 9 1 4
"16455" 62 6 2
"16456" 13 1 3
"16457" 11 0 1
"16458" 15 5 0
"16459" 98 13 9
"16460" 10 1 2
"16461" 187 29 20
"16462" 6 5 3
"16463" 193 32 19
"16464" 63 15 5
"16465" 6 1 0
"16466" 11 7 2
"16467" 171 36 10
"16468" 49 6 8
"16469" 117 25 12
"16470" 7 1 2
"16471" 82 13 7
"16472" 63 9 3
"16473" 38 7 12
"16474" 15 3 2
"16475" 15 2 2
"16476" 76 15 24
"16477" 100 15 16
"16478" 10 2 8
"16479" 12 4 1
"16480" 10 3 1
"16481" 124 13 10
"16482" 103 11 6
"16483" 106 26 9
"16484" 287 42 18
"16485" 4 4 0
"16486" 6 4 0
"16487" 57 4 8
"16488" 67 9 4
"16489" 67 17 14
"16490" 9 3 1
"16491" 14 4 0
"16492" 15 5 6
"16493" 123 23 11
"16494" 5 1 1
"16495" 92 20 18
"16496" 38 2 5
"16497" 303 44 20
"16498" 21 7 2
"16499" 60 15 8
"16500" 99 31 8
"16501" 93 20 18
"16502" 76 16 15
"16503" 279 52 18
"16504" 12 3 2
"16505" 79 28 4
"16506" 13 1 4
"16507" 20 4 4
"16508" 165 33 7
"16509" 33 4 2
"16510" 90 19 6
"16511" 125 24 5
"16512" 172 19 14
"16513" 21 5 0
"16514" 8 4 0
"16515" 190 32 19
"16516" 101 25 13
"16517" 102 12 5
"16518" 4 1 0
"16519" 97 28 6
"16520" 13 8 4
"16521" 40 6 10
"16522" 146 11 0
"16523" 90 19 8
"16524" 5 14 2
"16525" 13 17 2
"16526" 12 12 8
"16527" 78 14 9
"16528" 16 10 5
"16529" 77 10 3
"16530" 180 30 15
"16531" 95 16 8
"16532" 276 47 17
"16533" 166 27 10
"16534" 171 25 14
"16535" 301 57 25
"16536" 72 13 5
"16537" 84 12 9
"16538" 162 33 19
"16539" 12 3 3
"16540" 82 26 3
"16541" 367 58 15
"16542" 7 3 0
"16543" 4 14 2
"16544" 11 9 2
"16545" 9 5 1
"16546" 12 1 0
"16547" 11 4 4
"16548" 27 8 1
"16549" 10 4 0
"16550" 9 4 5
"16551" 70 24 14
"16552" 12 6 1
"16553" 44 7 3
"16554" 88 21 7
"16555" 30 3 1
"16556" 6 5 4
"16557" 49 7 6
"16558" 19 6 2
"16559" 103 20 6
"16560" 53 14 10
"16561" 102 16 3
"16562" 9 10 1
"16563" 6 3 0
"16564" 24 10 21
"16565" 19 11 6
"16566" 9 4 4
"16567" 12 1 1
"16568" 34 7 6
"16569" 102 14 13
"16570" 103 26 9
"16571" 23 3 7
"16572" 14 6 2
"16573" 36 9 3
"16574" 32 2 0
"16575" 21 0 3
"16576" 115 15 2
"16577" 14 4 0
"16578" 311 31 6
"16579" 72 14 5
"16580" 253 42 17
"16581" 26 9 4
"16582" 13 6 1
"16583" 24 20 7
"16584" 130 20 12
"16585" 81 23 8
"16586" 27 12 3
"16587" 60 21 13
"16588" 235 51 19
"16589" 29 8 0
"16590" 151 19 11
"16591" 25 7 1
"16592" 44 4 7
"16593" 44 6 4
"16594" 24 9 0
"16595" 42 10 4
"16596" 7 1 1
"16597" 36 6 4
"16598" 204 15 7
"16599" 100 10 10
"16600" 31 1 3
"16601" 69 10 0
"16602" 94 5 2
"16603" 23 4 2
"16604" 296 27 3
"16605" 15 2 1
"16606" 46 49 46
"16607" 33 9 13
"16608" 6 3 1
"16609" 10 2 1
"16610" 172 33 18
"16611" 13 3 5
"16612" 12 5 2
"16613" 5 14 3
"16614" 4 5 0
"16615" 142 14 14
"16616" 67 13 0
"16617" 10 3 1
"16618" 5 6 0
"16619" 103 10 10
"16620" 122 16 5
"16621" 2 4 0
"16622" 2 5 1
"16623" 27 3 2
"16624" 17 8 0
"16625" 67 10 2
"16626" 16 4 2
"16627" 29 6 2
"16628" 124 30 18
"16629" 8 2 3
"16630" 23 5 0
"16631" 18 2 0
"16632" 159 13 4
"16633" 37 6 2
"16634" 29 3 2
"16635" 17 3 1
"16636" 56 11 0
"16637" 7 2 0
"16638" 15 15 2
"16639" 80 6 7
"16640" 21 5 2
"16641" 12 3 0
"16642" 8 14 2
"16643" 9 9 1
"16644" 100 14 17
"16645" 14 3 0
"16646" 23 6 6
"16647" 6 1 1
"16648" 16 1 0
"16649" 23 3 0
"16650" 222 23 7
"16651" 118 26 13
"16652" 15 6 2
"16653" 169 32 9
"16654" 59 7 1
"16655" 24 4 2
"16656" 13 5 3
"16657" 95 12 8
"16658" 75 12 5
"16659" 81 10 1
"16660" 59 9 3
"16661" 171 21 11
"16662" 328 65 26
"16663" 232 42 10
"16664" 469 95 31
"16665" 96 19 10
"16666" 263 42 7
"16667" 54 12 1
"16668" 249 40 34
"16669" 390 49 32
"16670" 60 15 9
"16671" 507 88 23
"16672" 19 15 8
"16673" 28 19 8
"16674" 4 6 1
"16675" 4 1 0
"16676" 10 12 0
"16677" 16 5 3
"16678" 39 6 4
"16679" 13 2 2
"16680" 220 40 16
"16681" 16 3 6
"16682" 15 6 0
"16683" 9 6 4
"16684" 195 38 10
"16685" 30 9 3
"16686" 14 2 1
"16687" 169 54 13
"16688" 6 7 1
"16689" 688 126 49
"16690" 23 16 6
"16691" 357 58 23
"16692" 6 8 3
"16693" 40 14 1
"16694" 76 14 0
"16695" 19 3 2
"16696" 115 34 9
"16697" 49 22 8
"16698" 96 18 7
"16699" 44 9 2
"16700" 216 52 29
"16701" 184 34 11
"16702" 57 9 1
"16703" 80 19 1
"16704" 19 12 3
"16705" 163 46 10
"16706" 68 24 15
"16707" 6 6 1
"16708" 38 8 5
"16709" 66 42 6
"16710" 10 10 0
"16711" 1 2 1
"16712" 180 33 13
"16713" 156 27 7
"16714" 14 7 1
"16715" 11 6 0
"16716" 38 7 1
"16717" 123 22 5
"16718" 19 6 6
"16719" 175 41 16
"16720" 146 35 10
"16721" 201 57 18
"16722" 15 6 0
"16723" 17 6 1
"16724" 19 14 2
"16725" 313 50 14
"16726" 133 30 17
"16727" 208 42 24
"16728" 187 29 10
"16729" 93 22 7
"16730" 271 34 12
"16731" 178 21 9
"16732" 20 6 1
"16733" 25 3 2
"16734" 89 19 8
"16735" 7 5 0
"16736" 277 28 12
"16737" 109 14 5
"16738" 314 55 29
"16739" 15 2 0
"16740" 106 24 7
"16741" 150 28 27
"16742" 64 18 6
"16743" 3 2 0
"16744" 9 3 0
"16745" 92 15 10
"16746" 78 14 4
"16747" 154 26 5
"16748" 48 6 3
"16749" 3 7 1
"16750" 693 133 54
"16751" 295 41 15
"16752" 136 28 5
"16753" 213 20 7
"16754" 25 22 12
"16755" 18 4 1
"16756" 41 6 1
"16757" 36 8 2
"16758" 151 18 5
"16759" 164 20 17
"16760" 101 21 6
"16761" 142 25 8
"16762" 189 25 17
"16763" 10 1 2
"16764" 1 0 0
"16765" 5 5 0
"16766" 21 2 0
"16767" 19 4 4
"16768" 227 18 7
"16769" 11 5 1
"16770" 20 5 0
"16771" 15 2 1
"16772" 8 3 0
"16773" 286 25 18
"16774" 70 10 9
"16775" 21 10 1
"16776" 62 6 8
"16777" 6 13 4
"16778" 171 28 12
"16779" 8 1 2
"16780" 2 6 0
"16781" 23 4 2
"16782" 24 2 3
"16783" 3 2 0
"16784" 14 4 1
"16785" 33 11 2
"16786" 16 8 2
"16787" 125 22 16
"16788" 124 20 15
"16789" 292 37 24
"16790" 2 1 1
"16791" 8 0 0
"16792" 14 12 11
"16793" 52 10 8
"16794" 133 19 8
"16795" 65 6 2
"16796" 129 27 7
"16797" 28 3 3
"16798" 193 32 8
"16799" 58 9 1
"16800" 301 35 13
"16801" 189 28 14
"16802" 14 2 3
"16803" 22 1 2
"16804" 18 1 1
"16805" 49 3 3
"16806" 48 3 1
"16807" 2 1 0
"16808" 11 3 1
"16809" 15 2 0
"16810" 32 10 1
"16811" 218 31 4
"16812" 42 3 1
"16813" 40 8 5
"16814" 23 2 0
"16815" 15 1 1
"16816" 2 9 0
"16817" 9 4 1
"16818" 4 9 3
"16819" 98 25 4
"16820" 235 36 12
"16821" 226 27 11
"16822" 144 23 10
"16823" 292 58 24
"16824" 51 9 4
"16825" 290 71 20
"16826" 118 16 6
"16827" 8 1 1
"16828" 21 0 3
"16829" 18 4 1
"16830" 114 28 8
"16831" 42 10 3
"16832" 94 19 6
"16833" 148 25 17
"16834" 20 21 4
"16835" 14 2 0
"16836" 25 6 1
"16837" 11 3 2
"16838" 26 6 2
"16839" 16 5 5
"16840" 138 25 8
"16841" 151 8 1
"16842" 58 8 6
"16843" 326 52 12
"16844" 139 19 7
"16845" 11 12 1
"16846" 147 34 26
"16847" 28 4 0
"16848" 225 31 12
"16849" 97 24 8
"16850" 417 50 16
"16851" 131 25 12
"16852" 218 43 13
"16853" 1 5 0
"16854" 14 1 0
"16855" 6 2 1
"16856" 21 8 2
"16857" 23 4 4
"16858" 16 20 6
"16859" 41 7 8
"16860" 86 13 12
"16861" 103 18 8
"16862" 77 17 6
"16863" 86 7 7
"16864" 125 28 14
"16865" 28 11 3
"16866" 69 16 12
"16867" 101 19 7
"16868" 28 10 2
"16869" 126 19 9
"16870" 0 4 1
"16871" 8 37 3
"16872" 35 8 7
"16873" 14 6 5
"16874" 5 1 1
"16875" 59 7 5
"16876" 109 13 7
"16877" 11 1 0
"16878" 18 4 1
"16879" 14 1 0
"16880" 73 12 1
"16881" 33 7 1
"16882" 13 2 0
"16883" 16 6 1
"16884" 99 19 10
"16885" 7 1 0
"16886" 117 20 7
"16887" 10 12 10
"16888" 1 5 1
"16889" 365 80 19
"16890" 120 22 22
"16891" 11 5 1
"16892" 127 25 14
"16893" 27 9 6
"16894" 36 6 2
"16895" 186 45 13
"16896" 36 15 2
"16897" 99 42 9
"16898" 42 10 5
"16899" 17 6 5
"16900" 18 17 4
"16901" 31 12 3
"16902" 5 11 1
"16903" 1 4 1
"16904" 10 6 0
"16905" 244 55 18
"16906" 72 19 4
"16907" 96 16 6
"16908" 71 20 8
"16909" 71 18 4
"16910" 42 5 2
"16911" 210 41 17
"16912" 13 3 4
"16913" 366 81 28
"16914" 114 17 4
"16915" 10 10 2
"16916" 188 38 12
"16917" 63 13 9
"16918" 58 9 4
"16919" 7 3 2
"16920" 59 11 5
"16921" 87 18 3
"16922" 13 1 3
"16923" 23 8 1
"16924" 6 0 1
"16925" 47 21 7
"16926" 56 13 4
"16927" 133 27 6
"16928" 218 52 26
"16929" 162 23 9
"16930" 98 22 6
"16931" 68 8 8
"16932" 4 0 1
"16933" 2 0 1
"16934" 50 10 7
"16935" 26 0 2
"16936" 17 4 1
"16937" 55 10 20
"16938" 7 4 1
"16939" 20 9 3
"16940" 1 3 0
"16941" 13 3 5
"16942" 16 4 0
"16943" 122 19 6
"16944" 16 2 2
"16945" 131 28 8
"16946" 9 1 0
"16947" 52 2 1
"16948" 100 21 7
"16949" 6 1 1
"16950" 29 3 7
"16951" 32 6 6
"16952" 16 5 1
"16953" 4 8 1
"16954" 13 2 1
"16955" 5 4 1
"16956" 2 3 5
"16957" 165 13 12
"16958" 381 29 13
"16959" 32 4 1
"16960" 23 4 1
"16961" 36 8 0
"16962" 22 7 1
"16963" 83 14 7
"16964" 16 12 1
"16965" 120 23 10
"16966" 12 1 1
"16967" 147 34 16
"16968" 123 16 8
"16969" 99 16 5
"16970" 18 3 2
"16971" 18 16 2
"16972" 114 15 3
"16973" 85 14 5
"16974" 26 7 3
"16975" 8 3 2
"16976" 13 17 8
"16977" 26 6 2
"16978" 13 4 1
"16979" 94 14 4
"16980" 262 45 28
"16981" 168 17 12
"16982" 32 7 1
"16983" 22 10 4
"16984" 25 5 1
"16985" 12 3 1
"16986" 81 14 5
"16987" 82 9 1
"16988" 12 2 2
"16989" 5 15 2
"16990" 10 3 0
"16991" 28 10 2
"16992" 5 4 2
"16993" 12 2 0
"16994" 50 18 7
"16995" 9 3 1
"16996" 15 8 2
"16997" 14 3 1
"16998" 18 7 4
"16999" 5 0 0
"17000" 9 1 1
"17001" 34 9 8
"17002" 33 7 1
"17003" 12 6 2
"17004" 31 6 1
"17005" 32 9 5
"17006" 7 2 3
"17007" 202 32 15
"17008" 194 32 18
"17009" 24 5 2
"17010" 73 14 15
"17011" 64 13 7
"17012" 108 12 6
"17013" 16 12 11
"17014" 18 1 9
"17015" 172 7 7
"17016" 4 0 0
"17017" 48 8 5
"17018" 16 3 3
"17019" 6 0 0
"17020" 13 2 4
"17021" 66 15 30
"17022" 12 1 5
"17023" 46 12 33
"17024" 35 9 3
"17025" 22 2 5
"17026" 161 15 11
"17027" 61 8 5
"17028" 179 27 10
"17029" 120 27 10
"17030" 167 20 8
"17031" 1 5 0
"17032" 51 14 6
"17033" 58 18 3
"17034" 74 8 2
"17035" 159 33 12
"17036" 21 4 3
"17037" 19 4 2
"17038" 30 4 2
"17039" 20 1 0
"17040" 113 16 7
"17041" 8 12 1
"17042" 13 2 3
"17043" 79 14 10
"17044" 28 8 3
"17045" 136 16 4
"17046" 89 13 6
"17047" 13 1 0
"17048" 141 15 7
"17049" 85 9 7
"17050" 6 11 3
"17051" 18 3 0
"17052" 4 3 0
"17053" 10 3 4
"17054" 17 3 2
