"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"15937" 818 60 54
"15938" 2236 144 161
"15939" 14 2 252
"15940" 1312 250 127
"15941" 865 110 109
"15942" 6 2 23
"15943" 55 19 618
"15944" 6 5 28
"15945" 1324 194 259
"15946" 1078 19 25
"15947" 15 2 27
"15948" 431 5 62
"15949" 76 3 2
"15950" 20 18 0
"15951" 415 46 0
"15952" 4 41 0
"15953" 78 4 1
"15954" 83 0 2
"15955" 1431 13 6
"15956" 51 43 4
"15957" 5 2 26
"15958" 838 77 15
"15959" 220 3 0
"15960" 72 1 3
"15961" 27 17 2
"15962" 72 6 0
"15963" 837 70 67
"15964" 68 0 2
"15965" 558 103 6
"15966" 98 0 2
"15967" 206 1 4
"15968" 95 1 1
"15969" 119 0 2
"15970" 104 1 2
"15971" 92 1 2
"15972" 100 2 1
"15973" 192 0 0
"15974" 276 2 1
"15975" 64 1 3
"15976" 3 16 2
"15977" 423 27 54
"15978" 13 2 37
"15979" 75 0 5
"15980" 62 1 6
"15981" 188 76 1075
"15982" 32 0 35
"15983" 293 2 13
"15984" 54 2 3
"15985" 66 1 4
"15986" 751 90 71
"15987" 21 0 1
"15988" 2 1 21
"15989" 1099 55 7
"15990" 71 1 0
"15991" 22 111 3
"15992" 0 14 0
"15993" 68 0 0
"15994" 80 0 1
"15995" 1382 143 132
"15996" 82 0 0
"15997" 114 0 8
"15998" 837 3 4
"15999" 321 24 6
"16000" 722 50 73
"16001" 108 1 2
"16002" 101 2 3
"16003" 102 1 3
"16004" 1327 129 145
"16005" 1262 110 214
"16006" 817 43 118
"16007" 103 2 1
"16008" 94 0 1
"16009" 93 1 1
"16010" 267 2 4
"16011" 101 2 2
"16012" 835 110 95
"16013" 111 1 0
"16014" 47 0 2
"16015" 97 3 2
"16016" 844 12 6
"16017" 75 1 0
"16018" 273 3 4
"16019" 81 3 2
"16020" 3190 66 16
"16021" 73 0 2
"16022" 98 0 2
"16023" 93 5 0
"16024" 117 0 1
"16025" 60 2 1
"16026" 63 0 0
"16027" 129 0 2
"16028" 81 0 1
"16029" 89 0 3
"16030" 90 0 1
"16031" 59 2 2
"16032" 90 1 7
"16033" 135 0 5
"16034" 7 2 32
"16035" 101 42 5
"16036" 693 35 72
"16037" 1712 244 166
"16038" 139 3 23
"16039" 197 10 6
"16040" 1180 130 124
"16041" 148 2 8
"16042" 124 3 31
"16043" 6 18 4
"16044" 1450 169 128
"16045" 1133 155 104
"16046" 199 5 2
"16047" 1778 126 128
"16048" 111 1 2
"16049" 294 2 10
"16050" 353 3 5
"16051" 270 0 23
"16052" 591 14 69
"16053" 443 7 3
"16054" 936 16 49
"16055" 1056 126 116
"16056" 120 3 6
"16057" 1291 97 110
"16058" 1577 157 111
"16059" 124 1 6
"16060" 1269 107 25
"16061" 470 3 3
"16062" 164 2 2
"16063" 84 3 1
"16064" 158 2 3
"16065" 161 2 3
"16066" 103 3 2
"16067" 127 3 6
"16068" 95 0 1
"16069" 140 3 8
"16070" 110 3 2
"16071" 73 0 3
"16072" 140 7 3
"16073" 68 0 3
"16074" 1132 118 339
"16075" 1353 117 71
"16076" 1339 86 85
"16077" 88 0 3
"16078" 1221 75 107
"16079" 53 1 2
"16080" 15 18 1
"16081" 254 47 4
"16082" 920 82 48
"16083" 180 1 2
"16084" 599 54 30
"16085" 72 0 2
"16086" 57 4 2
"16087" 66 1 2
"16088" 159 2 11
"16089" 130 1 5
"16090" 70 0 2
"16091" 68 0 2
"16092" 5 1 23
"16093" 27 4 45
"16094" 973 155 275
"16095" 27 0 28
"16096" 541 78 272
"16097" 1276 61 100
"16098" 1158 192 187
"16099" 796 38 138
"16100" 647 66 83
"16101" 66 0 0
"16102" 175 1 1
"16103" 164 4 1
"16104" 82 0 3
"16105" 1746 296 128
"16106" 1319 167 92
"16107" 985 62 121
"16108" 665 54 28
"16109" 1722 137 160
"16110" 1287 74 227
"16111" 188 4 4
"16112" 973 76 92
"16113" 100 0 2
"16114" 115 2 3
"16115" 76 0 1
"16116" 84 4 5
"16117" 14 42 43
"16118" 172 1 3
"16119" 117 1 1
"16120" 204 3 1
"16121" 108 3 1
"16122" 84 0 1
"16123" 136 2 4
"16124" 112 0 1
"16125" 149 2 14
"16126" 8 32 5
"16127" 74 0 1
"16128" 563 20 68
"16129" 794 30 78
"16130" 116 0 3
"16131" 61 0 0
"16132" 72 0 1
"16133" 73 0 0
"16134" 42 5 0
"16135" 4 36 2
"16136" 238 0 2
"16137" 113 2 1
"16138" 103 2 2
"16139" 2017 7 5
"16140" 933 90 130
"16141" 1606 197 310
"16142" 858 47 59
"16143" 1223 80 34
"16144" 11 60 111
"16145" 918 108 116
"16146" 1343 173 195
"16147" 88 0 0
"16148" 1945 165 70
"16149" 70 0 1
"16150" 451 31 16
"16151" 60 65 327
"16152" 2054 96 28
"16153" 106 3 1
"16154" 260 6 2
"16155" 728 21 97
"16156" 8 28 2
"16157" 1589 130 91
"16158" 3 19 1
"16159" 1119 71 82
"16160" 587 30 65
"16161" 115 0 1
"16162" 1343 50 5
"16163" 137 0 1
"16164" 64 0 7
"16165" 685 88 75
"16166" 72 0 2
"16167" 107 1 5
"16168" 256 0 2
"16169" 4 1 24
"16170" 1351 53 126
"16171" 239 7 53
"16172" 105 6 0
"16173" 61 1 198
"16174" 112 3 17
"16175" 143 0 9
"16176" 81 2 10
"16177" 622 56 86
"16178" 1713 176 100
"16179" 116 3 1
"16180" 811 73 76
"16181" 1266 39 14
"16182" 73 0 1
"16183" 1486 152 59
"16184" 893 72 381
"16185" 9 1 38
"16186" 16 1 47
"16187" 0 24 2
"16188" 1443 159 95
"16189" 93 2 6
"16190" 156 2 4
"16191" 119 1 0
"16192" 242 7 0
"16193" 11 20 9
"16194" 1190 237 93
"16195" 14 30 1
"16196" 77 2 1
"16197" 21 120 4
"16198" 18 66 0
"16199" 91 2 0
"16200" 16 1 31
"16201" 10 1 31
"16202" 45 6 770
"16203" 117 6 120
"16204" 157 5 16
"16205" 35 2 228
"16206" 877 99 82
"16207" 124 0 0
"16208" 1323 64 13
"16209" 68 0 1
"16210" 104 1 0
"16211" 1379 95 64
"16212" 762 104 59
"16213" 216 7 11
"16214" 980 102 2
"16215" 133 2 1
"16216" 78 6 1
"16217" 136 1 0
"16218" 255 2 0
"16219" 275 4 5
"16220" 96 2 1
"16221" 205 1 2
"16222" 3 31 0
"16223" 54 0 0
"16224" 185 2 3
"16225" 72 0 3
"16226" 109 1 2
"16227" 83 0 1
"16228" 87 0 1
"16229" 143 1 4
"16230" 2126 150 232
"16231" 1386 216 127
"16232" 1054 114 164
"16233" 82 0 0
"16234" 54 0 0
"16235" 238 1 3
"16236" 65 0 0
"16237" 115 0 1
"16238" 40 6 39
"16239" 24 1 26
"16240" 388 35 67
"16241" 661 50 82
"16242" 81 2 3
"16243" 11 50 23
"16244" 885 153 65
"16245" 563 68 83
"16246" 258 3 16
"16247" 204 15 2
"16248" 66 1 1
"16249" 65 0 0
"16250" 216 3 0
"16251" 1287 126 107
"16252" 1515 103 338
"16253" 18 5 22
"16254" 1398 50 17
"16255" 87 1 1
"16256" 70 0 5
"16257" 61 1 2
"16258" 993 137 152
"16259" 109 0 2
"16260" 94 4 26
"16261" 739 94 77
"16262" 444 32 59
"16263" 19 19 1
"16264" 1432 89 102
"16265" 102 2 8
"16266" 15 22 9
"16267" 48 66 233
"16268" 79 2 51
"16269" 16 0 30
"16270" 163 3 743
"16271" 838 113 59
"16272" 110 0 1
"16273" 230 1 3
"16274" 870 2 7
"16275" 86 1 1
"16276" 8 18 0
"16277" 155 2 4
"16278" 86 1 6
"16279" 195 9 46
"16280" 2093 286 350
"16281" 1391 119 200
"16282" 274 5 0
"16283" 440 12 22
"16284" 778 33 42
"16285" 600 64 93
"16286" 88 0 3
"16287" 3048 124 234
"16288" 1398 4 495
"16289" 6 1 44
"16290" 9 0 37
"16291" 13 0 77
"16292" 156 6 519
"16293" 14 0 38
"16294" 88 0 2
"16295" 1490 139 140
"16296" 95 0 7
"16297" 1961 83 206
"16298" 5 27 2
"16299" 80 0 0
"16300" 971 134 67
"16301" 156 1 10
"16302" 187 1 2
"16303" 259 5 8
"16304" 110 1 4
"16305" 241 62 25
"16306" 54 0 3
"16307" 1082 113 52
"16308" 3 10 0
"16309" 169 1 8
"16310" 77 0 2
"16311" 142 4 5
"16312" 444 68 77
"16313" 773 46 108
"16314" 428 49 109
"16315" 1950 154 155
"16316" 1513 100 122
"16317" 11 56 48
"16318" 70 2 12
"16319" 1422 156 159
"16320" 1823 252 164
"16321" 8 34 20
"16322" 2007 195 223
"16323" 6 19 8
"16324" 1231 41 137
"16325" 79 2 1
"16326" 118 2 5
"16327" 74 4 1
"16328" 132 1 6
"16329" 968 48 2
"16330" 104 2 3
"16331" 137 2 3
"16332" 82 1 0
"16333" 707 49 94
"16334" 9 12 6
"16335" 51 15 69
"16336" 92 7 5
"16337" 217 3 12
"16338" 267 56 31
"16339" 163 12 45
"16340" 745 44 3
"16341" 465 63 0
"16342" 1480 118 153
"16343" 16 32 1
"16344" 185 1 3
"16345" 117 7 6
"16346" 103 0 0
"16347" 135 0 2
"16348" 85 0 3
"16349" 57 0 0
"16350" 227 1 3
"16351" 88 7 6
"16352" 14 0 21
"16353" 1072 83 168
"16354" 1324 326 167
"16355" 331 14 38
"16356" 888 188 92
"16357" 854 96 113
"16358" 13 26 2
"16359" 20 135 70
"16360" 129 4 8
"16361" 843 121 126
"16362" 1229 156 114
"16363" 861 85 114
"16364" 18 18 25
"16365" 1569 182 170
"16366" 75 1 6
"16367" 208 13 11
"16368" 56 0 0
"16369" 73 0 2
"16370" 564 74 101
"16371" 1181 174 153
"16372" 747 62 78
"16373" 168 0 8
"16374" 8 0 35
"16375" 54 1 1
"16376" 1398 248 163
"16377" 11 19 22
"16378" 1504 137 181
"16379" 17 2 26
"16380" 97 6 174
"16381" 14 2 118
"16382" 219 131 1907
"16383" 34 0 78
"16384" 66 3 91
"16385" 1497 208 171
"16386" 840 91 91
"16387" 82 4 3
"16388" 95 1 5
"16389" 696 3 3
"16390" 83 1 0
"16391" 70 0 1
"16392" 13 25 4
"16393" 94 0 0
"16394" 1682 240 148
"16395" 195 5 12
"16396" 558 84 66
"16397" 1437 117 98
"16398" 965 157 153
"16399" 82 2 2
"16400" 187 12 9
"16401" 204 2 10
"16402" 7 31 3
"16403" 984 61 25
"16404" 589 40 47
"16405" 8 1 19
"16406" 895 63 82
"16407" 157 3 4
"16408" 718 19 108
"16409" 1287 99 448
"16410" 368 7 37
"16411" 231 10 74
"16412" 708 36 82
"16413" 796 20 41
"16414" 229 7 25
"16415" 164 0 2
"16416" 191 2 36
"16417" 21 12 102
"16418" 11 3 31
"16419" 19 0 53
"16420" 634 42 15
"16421" 126 6 6
"16422" 111 31 15
"16423" 64 2 3
"16424" 269 30 17
"16425" 94 1 2
"16426" 87 2 4
"16427" 1411 80 104
"16428" 1246 122 240
"16429" 19 3 200
"16430" 8 1 25
"16431" 1080 158 138
"16432" 612 54 51
"16433" 1216 154 101
"16434" 86 1 3
"16435" 58 0 1
"16436" 607 72 99
"16437" 51 7 29
"16438" 190 10 95
"16439" 600 42 105
"16440" 23 10 113
"16441" 150 48 160
"16442" 8 0 23
"16443" 157 4 5
"16444" 562 35 132
"16445" 1964 60 21
"16446" 63 0 0
"16447" 146 0 4
"16448" 953 92 112
"16449" 1767 252 147
"16450" 60 1 2
"16451" 259 1 1
"16452" 106 2 0
"16453" 98 1 1
"16454" 51 0 0
"16455" 146 2 1
"16456" 100 0 2
"16457" 137 3 2
"16458" 140 2 2
"16459" 944 111 87
"16460" 14 1 38
"16461" 1164 111 419
"16462" 7 0 35
"16463" 1564 139 165
"16464" 541 14 88
"16465" 62 1 4
"16466" 73 0 2
"16467" 1691 259 117
"16468" 563 5 4
"16469" 990 135 158
"16470" 2 1 27
"16471" 723 104 59
"16472" 496 31 97
"16473" 20 5 216
"16474" 12 0 24
"16475" 71 0 17
"16476" 424 7 271
"16477" 408 12 147
"16478" 82 0 6
"16479" 76 0 1
"16480" 124 0 4
"16481" 967 62 160
"16482" 565 66 48
"16483" 760 59 126
"16484" 1519 154 166
"16485" 83 1 3
"16486" 125 1 3
"16487" 437 40 112
"16488" 534 52 111
"16489" 784 50 183
"16490" 81 0 11
"16491" 129 0 4
"16492" 95 2 56
"16493" 965 121 60
"16494" 12 15 16
"16495" 469 91 201
"16496" 474 5 80
"16497" 2343 202 291
"16498" 269 2 2
"16499" 479 58 82
"16500" 636 70 89
"16501" 554 75 158
"16502" 397 67 122
"16503" 2072 266 219
"16504" 59 0 0
"16505" 754 61 7
"16506" 81 1 0
"16507" 96 5 6
"16508" 1022 73 132
"16509" 101 2 12
"16510" 658 57 99
"16511" 1063 155 86
"16512" 1370 55 56
"16513" 106 3 1
"16514" 9 32 6
"16515" 1750 121 232
"16516" 1051 125 141
"16517" 849 68 74
"16518" 67 0 1
"16519" 677 92 74
"16520" 6 47 71
"16521" 440 24 64
"16522" 1258 126 72
"16523" 830 46 87
"16524" 17 45 14
"16525" 49 120 28
"16526" 6 22 14
"16527" 697 48 93
"16528" 14 32 68
"16529" 713 52 74
"16530" 1438 186 123
"16531" 642 66 74
"16532" 2456 258 255
"16533" 1140 92 51
"16534" 1645 76 155
"16535" 2135 185 279
"16536" 395 41 40
"16537" 494 64 142
"16538" 1397 200 130
"16539" 74 1 6
"16540" 879 73 84
"16541" 2227 139 122
"16542" 161 1 1
"16543" 13 67 0
"16544" 70 2 2
"16545" 71 0 0
"16546" 128 2 3
"16547" 90 1 5
"16548" 88 2 10
"16549" 82 3 6
"16550" 22 4 87
"16551" 788 101 55
"16552" 113 7 4
"16553" 360 2 15
"16554" 893 49 115
"16555" 284 4 1
"16556" 74 1 1
"16557" 709 88 117
"16558" 84 1 2
"16559" 895 99 89
"16560" 443 32 53
"16561" 1172 114 18
"16562" 57 0 1
"16563" 71 5 6
"16564" 58 8 314
"16565" 126 1 19
"16566" 23 33 22
"16567" 119 0 3
"16568" 603 44 37
"16569" 1153 116 89
"16570" 1140 99 100
"16571" 238 36 19
"16572" 144 1 3
"16573" 368 2 9
"16574" 154 2 2
"16575" 173 2 4
"16576" 1059 45 16
"16577" 71 0 0
"16578" 2075 56 21
"16579" 801 102 53
"16580" 2076 229 299
"16581" 197 14 30
"16582" 5 29 6
"16583" 39 87 58
"16584" 975 122 135
"16585" 547 19 59
"16586" 112 1 7
"16587" 58 10 300
"16588" 1376 275 243
"16589" 147 3 2
"16590" 1031 79 87
"16591" 111 0 2
"16592" 326 10 57
"16593" 123 2 7
"16594" 115 1 2
"16595" 159 3 9
"16596" 12 5 37
"16597" 94 1 4
"16598" 1185 4 35
"16599" 768 73 78
"16600" 211 0 4
"16601" 271 1 4
"16602" 514 1 4
"16603" 112 1 4
"16604" 831 21 5
"16605" 102 2 1
"16606" 111 124 290
"16607" 10 6 445
"16608" 5 0 21
"16609" 83 3 7
"16610" 1065 82 274
"16611" 22 0 123
"16612" 132 1 0
"16613" 14 46 19
"16614" 219 1 1
"16615" 848 85 107
"16616" 591 63 4
"16617" 113 3 3
"16618" 74 0 1
"16619" 840 65 31
"16620" 970 41 185
"16621" 2 13 1
"16622" 7 61 0
"16623" 230 2 4
"16624" 97 3 1
"16625" 419 7 51
"16626" 119 2 3
"16627" 278 21 22
"16628" 997 150 117
"16629" 98 1 0
"16630" 164 0 1
"16631" 119 1 1
"16632" 1083 64 1
"16633" 98 0 4
"16634" 77 3 1
"16635" 79 2 1
"16636" 503 1 1
"16637" 62 1 1
"16638" 15 92 10
"16639" 859 69 102
"16640" 115 1 5
"16641" 6 2 21
"16642" 48 55 34
"16643" 11 22 5
"16644" 900 20 364
"16645" 99 2 2
"16646" 9 2 55
"16647" 68 2 3
"16648" 81 1 6
"16649" 93 3 4
"16650" 1600 98 68
"16651" 1229 123 85
"16652" 140 1 4
"16653" 942 226 87
"16654" 454 11 45
"16655" 232 0 5
"16656" 6 17 3
"16657" 540 26 61
"16658" 309 26 20
"16659" 496 103 97
"16660" 485 27 79
"16661" 1028 99 129
"16662" 2261 206 197
"16663" 1127 124 70
"16664" 3327 228 229
"16665" 226 10 26
"16666" 1094 88 101
"16667" 86 2 7
"16668" 1237 167 177
"16669" 2033 92 187
"16670" 259 18 12
"16671" 3193 234 240
"16672" 11 29 44
"16673" 119 5 9
"16674" 22 0 22
"16675" 63 1 2
"16676" 15 37 59
"16677" 270 0 3
"16678" 138 0 4
"16679" 70 1 3
"16680" 1270 104 117
"16681" 4 6 30
"16682" 137 0 7
"16683" 3 17 48
"16684" 1291 50 210
"16685" 14 0 33
"16686" 5 18 6
"16687" 1063 137 213
"16688" 3 14 1
"16689" 4202 303 482
"16690" 116 25 9
"16691" 2055 240 398
"16692" 8 68 9
"16693" 141 1 4
"16694" 621 18 4
"16695" 186 1 5
"16696" 890 100 81
"16697" 12 86 10
"16698" 608 60 109
"16699" 22 18 9
"16700" 1282 352 186
"16701" 807 124 56
"16702" 120 52 4
"16703" 640 21 1
"16704" 209 3 4
"16705" 1206 66 157
"16706" 411 88 103
"16707" 8 24 4
"16708" 318 25 49
"16709" 700 80 22
"16710" 16 25 3
"16711" 3 16 10
"16712" 1480 96 51
"16713" 1153 79 90
"16714" 6 29 3
"16715" 70 2 6
"16716" 86 2 12
"16717" 740 40 32
"16718" 11 2 131
"16719" 1038 146 129
"16720" 552 112 110
"16721" 1410 327 211
"16722" 76 0 7
"16723" 11 39 6
"16724" 48 84 10
"16725" 1823 197 156
"16726" 886 49 153
"16727" 1107 354 132
"16728" 1101 102 120
"16729" 490 17 92
"16730" 1281 35 97
"16731" 811 4 9
"16732" 68 2 5
"16733" 83 3 2
"16734" 306 6 24
"16735" 21 15 4
"16736" 1894 44 102
"16737" 427 13 9
"16738" 1923 180 337
"16739" 93 0 3
"16740" 837 155 78
"16741" 665 61 326
"16742" 551 32 109
"16743" 4 13 5
"16744" 94 1 3
"16745" 668 81 30
"16746" 618 40 28
"16747" 1042 116 116
"16748" 219 2 12
"16749" 2 3 59
"16750" 4049 455 974
"16751" 1540 133 190
"16752" 1027 69 96
"16753" 1439 160 94
"16754" 41 79 108
"16755" 88 2 5
"16756" 233 3 13
"16757" 133 2 10
"16758" 1031 71 63
"16759" 1173 170 176
"16760" 762 154 54
"16761" 890 102 70
"16762" 1303 156 158
"16763" 69 0 3
"16764" 12 0 18
"16765" 5 62 2
"16766" 129 1 2
"16767" 131 2 13
"16768" 951 91 45
"16769" 4 18 0
"16770" 70 0 1
"16771" 60 1 3
"16772" 5 31 1
"16773" 1631 125 174
"16774" 602 81 129
"16775" 24 38 14
"16776" 447 8 173
"16777" 29 120 4
"16778" 1005 146 103
"16779" 62 2 2
"16780" 8 43 7
"16781" 147 1 3
"16782" 70 2 1
"16783" 16 0 24
"16784" 83 1 1
"16785" 145 7 5
"16786" 107 20 11
"16787" 1266 217 132
"16788" 1011 94 161
"16789" 1886 130 189
"16790" 15 2 24
"16791" 51 2 4
"16792" 20 30 105
"16793" 133 0 9
"16794" 629 44 60
"16795" 124 0 10
"16796" 901 77 79
"16797" 216 0 9
"16798" 798 144 58
"16799" 270 25 4
"16800" 1734 168 120
"16801" 1176 76 191
"16802" 60 1 0
"16803" 83 1 4
"16804" 120 4 6
"16805" 569 0 3
"16806" 399 0 2
"16807" 89 0 0
"16808" 125 1 0
"16809" 311 0 3
"16810" 142 3 2
"16811" 1040 32 21
"16812" 193 4 3
"16813" 242 7 23
"16814" 116 4 2
"16815" 40 4 31
"16816" 11 23 0
"16817" 12 53 1
"16818" 3 67 4
"16819" 630 38 9
"16820" 1206 163 73
"16821" 1601 185 168
"16822" 831 120 91
"16823" 1835 248 307
"16824" 314 33 53
"16825" 1812 218 138
"16826" 1316 85 130
"16827" 69 0 3
"16828" 98 2 5
"16829" 89 0 2
"16830" 942 56 36
"16831" 314 29 12
"16832" 587 51 59
"16833" 837 112 106
"16834" 21 91 92
"16835" 89 1 5
"16836" 125 0 9
"16837" 102 1 0
"16838" 143 3 10
"16839" 11 2 49
"16840" 991 83 118
"16841" 1052 3 12
"16842" 510 33 36
"16843" 2029 107 65
"16844" 1024 122 95
"16845" 6 23 20
"16846" 937 145 356
"16847" 98 0 9
"16848" 1064 85 88
"16849" 916 66 186
"16850" 2318 162 115
"16851" 1269 129 101
"16852" 1482 235 134
"16853" 9 37 3
"16854" 96 0 1
"16855" 91 1 2
"16856" 101 1 10
"16857" 98 5 8
"16858" 92 46 97
"16859" 19 0 173
"16860" 674 28 146
"16861" 1015 106 146
"16862" 742 61 24
"16863" 631 89 91
"16864" 1111 104 154
"16865" 123 25 6
"16866" 1186 73 94
"16867" 795 76 145
"16868" 184 1 33
"16869" 1144 41 141
"16870" 5 26 3
"16871" 24 144 6
"16872" 248 8 11
"16873" 114 1 5
"16874" 54 0 1
"16875" 691 71 90
"16876" 1066 72 82
"16877" 65 1 4
"16878" 129 1 3
"16879" 83 1 3
"16880" 813 68 69
"16881" 225 8 20
"16882" 104 1 2
"16883" 127 0 1
"16884" 835 107 85
"16885" 41 0 2
"16886" 1340 75 131
"16887" 19 26 220
"16888" 6 18 3
"16889" 2373 223 173
"16890" 1071 84 140
"16891" 18 3 40
"16892" 1273 139 143
"16893" 141 1 10
"16894" 270 1 10
"16895" 1769 335 246
"16896" 124 4 14
"16897" 999 127 46
"16898" 163 3 15
"16899" 168 19 39
"16900" 48 5 101
"16901" 125 43 5
"16902" 9 34 1
"16903" 9 23 2
"16904" 84 2 1
"16905" 2036 263 333
"16906" 543 54 21
"16907" 798 83 60
"16908" 709 88 101
"16909" 677 71 120
"16910" 406 23 26
"16911" 1730 204 130
"16912" 5 5 33
"16913" 2522 341 250
"16914" 1235 104 11
"16915" 5 29 21
"16916" 1592 208 241
"16917" 767 108 69
"16918" 613 71 31
"16919" 3 14 8
"16920" 652 59 89
"16921" 598 46 17
"16922" 127 12 16
"16923" 116 0 4
"16924" 8 23 2
"16925" 473 48 55
"16926" 450 10 59
"16927" 1100 140 87
"16928" 1247 126 138
"16929" 858 95 105
"16930" 955 68 94
"16931" 690 60 111
"16932" 4 0 14
"16933" 7 0 22
"16934" 384 30 35
"16935" 203 1 29
"16936" 101 5 7
"16937" 449 3 350
"16938" 96 0 0
"16939" 147 3 8
"16940" 6 28 2
"16941" 5 1 62
"16942" 83 1 4
"16943" 1269 80 103
"16944" 156 0 0
"16945" 1552 143 170
"16946" 67 1 1
"16947" 499 3 3
"16948" 955 87 67
"16949" 91 0 3
"16950" 22 1 105
"16951" 156 5 68
"16952" 86 1 2
"16953" 12 37 49
"16954" 112 4 3
"16955" 8 1 20
"16956" 11 41 43
"16957" 1342 79 102
"16958" 2060 58 27
"16959" 103 1 1
"16960" 98 2 2
"16961" 104 1 1
"16962" 171 1 3
"16963" 943 65 127
"16964" 11 14 29
"16965" 1367 184 98
"16966" 7 7 25
"16967" 1087 116 304
"16968" 846 104 58
"16969" 811 106 105
"16970" 61 2 5
"16971" 18 68 31
"16972" 816 73 122
"16973" 880 114 71
"16974" 87 2 3
"16975" 9 1 34
"16976" 35 44 44
"16977" 78 4 4
"16978" 109 3 1
"16979" 589 57 70
"16980" 1957 174 249
"16981" 1395 136 55
"16982" 198 60 28
"16983" 11 3 37
"16984" 217 5 60
"16985" 79 1 2
"16986" 697 42 19
"16987" 567 21 4
"16988" 134 1 1
"16989" 20 73 0
"16990" 185 0 3
"16991" 299 1 2
"16992" 119 0 1
"16993" 101 0 1
"16994" 605 6 10
"16995" 685 0 1
"16996" 173 2 4
"16997" 113 2 1
"16998" 217 3 2
"16999" 72 1 2
"17000" 175 1 0
"17001" 253 4 20
"17002" 157 2 7
"17003" 12 24 3
"17004" 263 2 3
"17005" 129 2 8
"17006" 10 1 56
"17007" 1187 136 217
"17008" 1397 147 132
"17009" 141 6 1
"17010" 773 73 62
"17011" 500 57 106
"17012" 644 74 73
"17013" 30 2 102
"17014" 51 0 28
"17015" 1021 9 69
"17016" 13 1 19
"17017" 277 2 151
"17018" 14 0 28
"17019" 58 3 2
"17020" 31 2 20
"17021" 366 5 740
"17022" 32 3 51
"17023" 198 2 602
"17024" 114 5 12
"17025" 127 0 71
"17026" 904 8 114
"17027" 359 6 48
"17028" 1074 85 136
"17029" 737 86 102
"17030" 1016 98 100
"17031" 5 49 1
"17032" 466 27 83
"17033" 358 18 10
"17034" 118 5 6
"17035" 1211 119 119
"17036" 157 1 12
"17037" 161 0 2
"17038" 109 1 1
"17039" 81 2 1
"17040" 917 69 91
"17041" 9 25 2
"17042" 100 0 0
"17043" 665 72 71
"17044" 428 21 54
"17045" 1344 47 45
"17046" 860 75 60
"17047" 83 0 3
"17048" 1430 69 71
"17049" 961 70 85
"17050" 40 17 15
"17051" 128 0 0
"17052" 58 2 2
"17053" 125 0 3
"17054" 78 2 3
"17055" 185 4 5
"17056" 90 0 2
"17057" 123 2 6
"17058" 912 100 177
"17059" 888 82 64
"17060" 2019 210 240
"17061" 1264 100 79
"17062" 840 121 68
"17063" 119 1 2
"17064" 13 18 0
"17065" 123 0 6
"17066" 1351 133 84
"17067" 115 2 6
"17068" 108 10 6
"17069" 1593 194 157
"17070" 1616 120 129
"17071" 860 73 77
"17072" 128 3 2
"17073" 22 70 0
"17074" 496 33 11
"17075" 2 16 0
"17076" 386 3 4
"17077" 78 0 0
"17078" 173 1 4
"17079" 117 0 1
"17080" 78 2 1
"17081" 245 3 1
"17082" 352 0 4
"17083" 1215 121 189
"17084" 705 56 85
"17085" 121 5 19
"17086" 1323 135 127
"17087" 242 1 5
"17088" 126 1 1
"17089" 135 4 13
"17090" 1003 83 163
"17091" 659 120 132
"17092" 1758 26 268
"17093" 292 0 6
"17094" 85 1 3
"17095" 624 165 165
"17096" 2226 248 216
"17097" 554 91 91
"17098" 20 0 48
"17099" 201 4 25
"17100" 28 5 51
"17101" 85 1 5
"17102" 174 0 1
"17103" 83 7 71
"17104" 136 0 5
"17105" 1107 112 88
"17106" 72 2 1
"17107" 601 16 66
"17108" 932 89 96
"17109" 1505 136 152
"17110" 921 127 93
"17111" 79 0 0
"17112" 331 4 5
"17113" 286 78 36
"17114" 462 79 69
"17115" 288 4 9
"17116" 186 9 7
"17117" 105 1 6
"17118" 167 3 6
"17119" 82 1 3
"17120" 148 3 4
"17121" 83 7 5
"17122" 55 0 6
"17123" 171 3 4
"17124" 75 2 1
"17125" 115 1 0
"17126" 5 5 22
"17127" 100 6 7
"17128" 1711 135 180
"17129" 580 45 9
"17130" 153 10 62
"17131" 34 3 76
"17132" 1032 109 262
"17133" 3 1 22
"17134" 11 1 73
"17135" 341 46 1280
"17136" 91 31 11
"17137" 112 24 49
"17138" 244 8 23
"17139" 946 160 34
"17140" 1605 269 155
"17141" 1218 104 134
"17142" 850 62 16
"17143" 9 1 21
"17144" 226 17 19
"17145" 260 3 2
"17146" 62 2 3
"17147" 130 4 2
"17148" 9 4 33
"17149" 5 0 95
"17150" 972 81 168
"17151" 126 2 2
"17152" 509 5 8
"17153" 117 3 2
"17154" 77 0 1
"17155" 60 2 1
"17156" 128 3 2
"17157" 12 3 38
"17158" 983 106 83
"17159" 165 0 3
"17160" 1623 161 38
"17161" 63 4 4
"17162" 15 16 3
"17163" 562 47 27
"17164" 19 8 23
"17165" 600 57 66
"17166" 77 6 3
"17167" 1578 173 296
"17168" 960 133 132
"17169" 161 5 28
"17170" 186 2 3
"17171" 272 6 2
"17172" 12 77 3
"17173" 487 21 22
"17174" 338 3 3
"17175" 104 3 9
"17176" 154 0 1
"17177" 145 1 4
"17178" 79 1 3
"17179" 98 1 3
"17180" 1588 39 123
