"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"499" 131 1 10
"500" 3 15 1
"501" 4 17 2
"502" 76 0 2
"503" 61 0 3
"504" 856 146 149
"505" 208 1 36
"506" 947 144 38
"507" 202 0 3
"508" 67 0 2
"509" 167 0 2
"510" 82 1 1
"511" 14 34 95
"512" 1 2 32
"513" 654 93 61
"514" 439 61 71
"515" 6 39 23
"516" 96 3 4
"517" 117 1 0
"518" 8 2 23
"519" 979 145 159
"520" 4 0 48
"521" 12 16 129
"522" 83 0 2
"523" 99 1 2
"524" 1860 100 74
"525" 668 64 64
"526" 93 0 4
"527" 685 65 51
"528" 102 0 10
"529" 58 0 4
"530" 663 136 100
"531" 8 45 10
"532" 134 3 2
"533" 123 0 1
"534" 102 0 3
"535" 5 33 2
"536" 1108 189 122
"537" 93 0 3
"538" 3 61 1
"539" 104 14 14
"540" 50 4 1
"541" 122 2 0
"542" 128 3 1
"543" 78 1 3
"544" 117 1 1
"545" 886 8 16
"546" 201 9 13
"547" 118 6 9
"548" 121 4 0
"549" 96 3 5
"550" 223 0 2
"551" 116 0 1
"552" 466 16 55
"553" 86 2 8
"554" 295 4 10
"555" 131 1 93
"556" 296 6 97
"557" 33 1 53
"558" 886 137 117
"559" 544 46 132
"560" 87 0 5
"561" 154 4 10
"562" 77 1 4
"563" 5 22 3
"564" 942 179 115
"565" 397 62 49
"566" 5 79 2
"567" 1224 342 205
"568" 302 15 22
"569" 812 92 115
"570" 64 2 0
"571" 464 15 8
"572" 710 139 220
"573" 426 48 46
"574" 82 6 6
"575" 1571 573 289
"576" 705 72 119
"577" 420 57 58
"578" 214 1 2
"579" 7 25 12
"580" 523 75 99
"581" 10 33 19
"582" 893 160 131
"583" 1 1 17
"584" 8 40 3
"585" 684 156 53
"586" 664 1 3
"587" 8 20 1
"588" 61 0 4
"589" 20 4 238
"590" 9 56 7
"591" 569 126 76
"592" 783 125 200
"593" 375 29 29
"594" 187 2 1
"595" 378 0 4
"596" 42 0 0
"597" 10 7 17
"598" 134 7 25
"599" 327 14 60
"600" 34 7 26
"601" 21 3 27
"602" 1235 239 364
"603" 85 8 23
"604" 212 1 3
"605" 4 4 26
"606" 5 1 31
"607" 1481 163 912
"608" 870 138 58
"609" 89 1 1
"610" 916 109 7
"611" 85 2 2
"612" 196 89 3
"613" 69 0 1
"614" 62 0 0
"615" 9 110 2
"616" 0 26 1
"617" 1498 8 4
"618" 478 74 73
"619" 211 0 5
"620" 654 7 5
"621" 86 1 4
"622" 629 39 2
"623" 158 3 2
"624" 764 61 531
"625" 2 1 24
"626" 10 2 26
"627" 8 1 27
"628" 1 17 14
"629" 31 11 171
"630" 1036 167 154
"631" 2 63 173
"632" 201 2 7
"633" 4 27 3
"634" 816 98 116
"635" 504 84 170
"636" 388 21 93
"637" 475 70 55
"638" 518 80 237
"639" 2440 9 8
"640" 94 6 2
"641" 50 0 0
"642" 67 0 0
"643" 1069 130 125
"644" 93 0 1
"645" 618 90 127
"646" 787 93 126
"647" 66 0 1
"648" 137 2 2
"649" 907 64 36
"650" 48 60 105
"651" 67 62 117
"652" 696 86 167
"653" 8 28 6
"654" 525 21 2
"655" 357 72 80
"656" 891 192 129
"657" 724 52 49
"658" 1264 204 233
"659" 502 50 23
"660" 684 150 110
"661" 3 3 22
"662" 529 50 2
"663" 983 195 83
"664" 1014 193 147
"665" 400 54 113
"666" 18 9 39
"667" 220 2 44
"668" 59 0 1
"669" 84 1 7
"670" 8 0 36
"671" 556 58 83
"672" 27 11 370
"673" 4 33 4
"674" 1177 114 82
"675" 60 0 1
"676" 1156 95 204
"677" 160 10 2
"678" 926 71 33
"679" 2 0 24
"680" 55 0 1
"681" 86 0 0
"682" 548 3 10
"683" 53 1 0
"684" 100 0 50
"685" 146 0 1
"686" 64 1 1
"687" 4 75 19
"688" 1165 158 176
"689" 152 31 18
"690" 74 0 1
"691" 199 1 2
"692" 2 0 36
"693" 2441 189 270
"694" 71 0 2
"695" 1178 141 52
"696" 125 4 3
"697" 185 3 5
"698" 2 2 33
"699" 606 50 452
"700" 725 98 151
"701" 757 114 69
"702" 50 0 0
"703" 496 41 34
"704" 10 33 1
"705" 118 0 4
"706" 573 107 114
"707" 586 116 111
"708" 83 0 1
"709" 1165 192 176
"710" 75 0 2
"711" 16 7 48
"712" 14 98 7
"713" 103 3 3
"714" 170 2 6
"715" 64 2 1
"716" 85 2 2
"717" 106 0 3
"718" 9 27 3
"719" 141 117 6
"720" 478 1 6
"721" 103 1 3
"722" 67 0 4
"723" 36 31 0
"724" 78 3 0
"725" 27 81 3
"726" 9 3 49
"727" 626 42 34
"728" 10 63 58
"729" 603 94 53
"730" 748 84 52
"731" 337 25 76
"732" 107 2 1
"733" 126 22 14
"734" 94 4 4
"735" 1005 99 145
"736" 85 5 1
"737" 335 5 8
"738" 521 14 61
"739" 100 0 4
"740" 2 17 0
"741" 77 0 1
"742" 460 5 0
"743" 1552 21 12
"744" 57 0 1
"745" 163 1 5
"746" 871 51 136
"747" 92 1 0
"748" 105 3 3
"749" 806 45 86
"750" 112 1 2
"751" 510 76 70
"752" 44 13 0
"753" 171 1 3
"754" 1057 120 283
"755" 863 84 89
"756" 58 0 0
"757" 97 2 0
"758" 55 0 2
"759" 167 7 5
"760" 80 0 1
"761" 97 2 1
"762" 97 1 1
"763" 86 1 1
"764" 70 0 1
"765" 67 0 1
"766" 58 1 2
"767" 108 1 4
"768" 176 2 10
"769" 75 0 0
"770" 949 72 208
"771" 4 0 36
"772" 79 2 3
"773" 70 1 1
"774" 119 1 1
"775" 110 0 0
"776" 1209 176 143
"777" 75 0 2
"778" 49 1 0
"779" 404 48 88
"780" 831 134 117
"781" 724 72 87
"782" 542 94 89
"783" 603 107 123
"784" 17 46 281
"785" 25 0 33
"786" 97 3 1
"787" 5 40 84
"788" 58 0 2
"789" 1113 179 266
"790" 176 1 2
"791" 123 1 3
"792" 1434 110 125
"793" 76 2 5
"794" 634 97 120
"795" 2 17 2
"796" 404 71 56
"797" 8 2 34
"798" 6 0 36
"799" 21 7 417
"800" 213 4 8
"801" 627 33 47
"802" 512 14 265
"803" 62 2 4
"804" 1717 213 170
"805" 74 2 1
"806" 15 2 131
"807" 715 3 5
"808" 780 102 153
"809" 413 25 143
"810" 86 0 5
"811" 698 213 95
"812" 173 70 6
"813" 1048 120 253
"814" 878 31 10
"815" 119 1 2
"816" 24 83 2
"817" 96 5 4
"818" 10 21 1
"819" 819 7 6
