Distance from Center (cmd=annotatePeaks.pl tss mm9 -size 10000 -hist 20 -len 1 -d 3T3_ChIP_bulk )	3T3_ChIP_bulk Coverage	3T3_ChIP_bulk + Tags	3T3_ChIP_bulk - Tags
-2660	14.26899663	0.003383194	0.00338776
-2640	14.79177084	0.003596641	0.003455104
-2620	15.08625938	0.00358751	0.003589792
-2600	15.16501794	0.003686814	0.003517312
-2580	15.05201652	0.003599495	0.003553267
-2560	15.02233938	0.00365942	0.00349163
-2540	15.04859224	0.003669692	0.003503615
-2520	14.84998369	0.003673687	0.003401457
-2500	15.08511795	0.003698799	0.003503615
-2480	14.87395369	0.003609197	0.00346766
-2460	14.91504511	0.003680536	0.003420861
-2440	15.52456789	0.003786118	0.003615475
-2420	15.730025	0.003825497	0.003655425
-2400	15.61930645	0.003925372	0.003549272
-2380	16.03706925	0.004002989	0.00359607
-2360	16.03478639	0.00392366	0.003720486
-2340	15.98228068	0.004000136	0.003632596
-2320	16.26763779	0.004004131	0.003729047
-2300	16.17061637	0.003994999	0.003726193
-2280	16.2801935	0.004023535	0.003679394
-2260	16.1877378	0.003925943	0.003753587
-2240	16.76415915	0.004093162	0.003889417
-2220	16.83606914	0.004053212	0.003972171
-2200	16.830362	0.004105147	0.003923089
-2180	17.30405479	0.004175916	0.004055495
-2160	17.15224481	0.004205022	0.003924231
-2140	17.69556474	0.004316882	0.004097157
-2120	17.50380476	0.004303756	0.004014404
-2100	18.01630612	0.004431596	0.004158794
-2080	18.00032612	0.004486955	0.004096587
-2060	18.41352321	0.004668442	0.00410743
-2040	17.88732471	0.004485243	0.004022964
-2020	18.17268181	0.004529188	0.004148522
-2000	18.47287749	0.004594249	0.004211871
-1980	19.00592456	0.004712958	0.00430718
-1960	19.27872595	0.004767746	0.00441904
-1940	19.11550168	0.004734645	0.0043711
-1920	19.70105446	0.004925264	0.004430454
-1900	19.85971301	0.005040548	0.004420752
-1880	20.15077726	0.00500231	0.00457085
-1860	19.84944016	0.00497035	0.004470975
-1840	20.3893358	0.005107892	0.004607947
-1820	20.71920861	0.005247717	0.004623356
-1800	20.90297858	0.005232308	0.004737499
-1780	21.65517991	0.005495978	0.004840227
-1760	21.64833134	0.0054098	0.004870475
-1740	21.6346342	0.005468584	0.004852212
-1720	21.89602131	0.005479427	0.004950946
-1700	21.95765844	0.005465159	0.005022856
-1680	22.59115121	0.005634661	0.005131862
-1660	23.05913686	0.005830987	0.005127296
-1640	23.2737254	0.005914311	0.005143276
-1620	23.73486249	0.006020464	0.005300223
-1600	24.57837808	0.006253886	0.005418931
-1580	24.5429938	0.006364605	0.005333324
-1560	25.39335797	0.006425101	0.005639798
-1540	25.7597565	0.006604876	0.005653495
-1520	26.36471356	0.006820035	0.005683172
-1500	27.00619633	0.006975269	0.005876644
-1480	27.53581911	0.007121372	0.005979373
-1460	27.95244048	0.007188716	0.006128329
-1440	27.94559191	0.007221818	0.006084384
-1420	29.45912599	0.00770293	0.006327508
-1400	29.37694315	0.007601343	0.006364605
-1380	30.21703446	0.007853028	0.006550658
-1360	30.79802152	0.007944912	0.006714453
-1340	31.62327427	0.008320442	0.006752691
-1320	32.92450266	0.00847054	0.007202413
-1300	32.9701598	0.008597239	0.007118518
-1280	33.95977824	0.008884308	0.007266904
-1260	35.13430808	0.009221029	0.007516877
-1240	35.86710512	0.009408794	0.00768695
-1220	37.08615067	0.009739238	0.007958039
-1200	38.27209479	0.01012447	0.008138955
-1180	38.78231329	0.010293972	0.008113844
-1160	39.92260028	0.010564491	0.008418605
-1140	40.62686162	0.010804761	0.008569845
-1120	42.27051853	0.011252772	0.00885406
-1100	43.20991412	0.011459941	0.009126862
-1080	44.9243396	0.011948473	0.009428769
-1060	46.43216654	0.012390776	0.009739809
-1040	47.70143494	0.012818812	0.009925291
-1020	49.07685618	0.013144119	0.010162708
-1000	50.65659311	0.013510517	0.01065181
-980	52.36188716	0.014126889	0.010791064
-960	54.67099685	0.0147113	0.011344086
-940	56.4082509	0.015034895	0.011831476
-920	57.71975215	0.015590771	0.011916513
-900	59.9832047	0.015964018	0.012510055
-880	61.87569301	0.016534161	0.012943798
-860	63.34356995	0.016919964	0.013190917
-840	66.38319383	0.017688145	0.01389632
-820	67.98119361	0.018063675	0.014289542
-800	70.47635613	0.018822725	0.014752962
-780	72.471573	0.019358055	0.015198119
-760	75.02837265	0.019970432	0.015765409
-740	77.33976519	0.020730623	0.01610156
-720	80.31546907	0.021458284	0.016720214
-700	82.24790738	0.021931976	0.017249837
-680	85.13001413	0.023075688	0.017528916
-660	88.15594086	0.023625856	0.018356452
-640	90.52098054	0.024258207	0.018788482
-620	93.41107729	0.025060061	0.019437955
-600	96.63332971	0.02588246	0.020186732
-580	100.2699206	0.027031878	0.020780846
-560	103.6006088	0.027955294	0.021315034
-540	106.2624198	0.02828745	0.022273263
-520	109.5565822	0.02920687	0.022938145
-500	112.2880204	0.02989344	0.023637841
-480	115.5136971	0.030534922	0.024526443
-460	117.5910969	0.03068502	0.025231846
-440	120.3567779	0.031131889	0.026110175
-420	121.8988477	0.031438363	0.026592999
-400	124.3506359	0.031701462	0.027483313
-380	126.5193499	0.031993097	0.028245217
-360	129.8203609	0.032481058	0.029359822
-340	131.9491249	0.033132243	0.029856343
-320	131.962822	0.03254669	0.030283237
-300	132.9136319	0.032767556	0.030568594
-280	132.0084792	0.031607294	0.031167844
-260	129.5475595	0.030154256	0.031476601
-240	124.3803131	0.027644826	0.031563349
-220	119.5007066	0.02515537	0.031760816
-200	114.4829873	0.021749348	0.032665398
-180	109.0372323	0.019006495	0.032836613
-160	102.5447875	0.016250516	0.032519296
-140	98.28954234	0.014933308	0.031866969
-120	94.59017284	0.014344902	0.03067703
-100	92.07560604	0.015316828	0.028666975
-80	90.80405479	0.017538048	0.025804272
-60	92.90770736	0.021711681	0.022731547
-40	98.24274378	0.027705321	0.019340363
-20	107.9871182	0.035019024	0.016648304
0	122.6247962	0.044120203	0.014605147
20	133.422709	0.049947195	0.01365605
40	148.8125883	0.056339765	0.014670209
60	158.824057	0.058607783	0.017087754
80	165.8175889	0.058652299	0.020210132
100	175.7788347	0.057887542	0.025494945
120	184.9045548	0.055582998	0.032253913
140	196.1008262	0.053772693	0.03937072
160	207.6269703	0.052489727	0.046165643
180	219.6804544	0.051560604	0.052858979
200	229.7330145	0.051701	0.057613029
