cell_54	cell_68	cell_70	cell_78	cell_89	cell_109	cell_113	cell_114	cell_115	cell_117	cell_118	cell_120	cell_124	cell_125	cell_134	cell_135	cell_137	cell_141	cell_154	cell_157	cell_165	cell_171	cell_173	cell_175	cell_176	cell_177	cell_183	cell_184	cell_187	cell_188	cell_189	cell_192	cell_194	cell_195	cell_197	cell_200	cell_201	cell_202	cell_203	cell_205	cell_217
ENSG00000116819_LINE19_TFAP2E_I	-0.741194513020777	-0.0256646249779134	0.491169775447418	0.127101994806364	1.07072837169073	0.290166922941731	-0.563135005080933	0.227787430080082	-0.501607794397491	-0.926984067129999	0.0531153100300647	-0.514950331042279	-0.624357714421171	-0.0380706847530589	-0.644755864887785	-0.194704160784296	-0.930712490146471	-0.518819969293452	-0.511493304059381	-0.732311329864596	-0.0822753960422728	-0.567608557740832	0.829933455785349	-0.355567835070706	0.407897918192399	1.19201036222877	0.846521666881809	0.40454907108831	0.86559955300441	0.823066895440726	0.398555866401869	0.477113953945807	0.435179414963927	-0.387501874377253	1.18997559374167	1.17249226149644	0.00421847067128877	-0.3540410006306	0.00960945658723342	1.13107855580856	-0.253811768877422
ENSG00000137203_LINE29_TFAP2A_D_N3	1.12990046443786	0.892131360808972	-0.276082472179411	-0.441329808977127	0.68034365553669	0.473618059498326	0.161102068460236	0.302286300048447	0.670600147216321	0.406119605289079	-0.461793038448272	0.7815746346194	0.552515838325248	0.171341005516854	0.299579325342869	-0.0871764132592456	-0.397458319465354	-0.197688240483566	0.399883648109654	0.822144642494951	-0.523537964483211	-0.0414008226334671	-0.62886342684239	0.294674455764024	-0.232504776121302	-0.897738043121807	-0.324355109900961	-1.02677750379079	-0.357511565943487	-0.321423099748277	-0.635261313506137	-0.572764995948817	-0.456668684541175	-0.137592170256467	-0.807525055626207	-0.954315316225972	-0.817890325952383	-0.0747427289192677	0.21560727425663	-0.264693372047695	-0.519770721974129
ENSG00000137203_LINE20_TFAP2A_D_N2	-0.031124596354732	-0.715650455076085	-0.937374084015204	-1.01828758637194	0.585548224333759	0.569014770150802	0.657470675088804	0.498322393636497	0.151337977433241	0.921169006540816	0.229531931795478	0.415789255589606	0.164116707019539	-0.106007426572778	0.594605794497199	-0.0355165842572637	0.287775884766392	-0.930818385860677	-0.620676990097829	-0.767326411079365	-1.82233369193191	0.0609146367513263	-0.883961288222065	-0.502038453266837	-0.186723665246354	0.614542317865002	-0.164515088570633	-0.0902858200056925	0.617163601119317	-0.346157506364416	0.653420750185637	0.808782946444724	-0.0537431530427795	1.2219632243215	-0.194256284986345	0.0849302808350571	1.39529457628422	0.772663316367316	-0.265974239801972	0.330184478763379	0.278474048674351
ENSG00000137203_LINE28_TFAP2A_D_N2	-0.078163762917152	-0.0484829171607459	-0.15909540528245	0.000799387360753982	0.435021830055678	1.23862695666356	1.01375260552868	1.10638694204795	0.97199517328585	0.783079787716485	0.728736639365646	1.2820826394626	1.31357865638574	0.461002587805949	0.541694139456222	0.804274981025295	0.117472430447026	-0.733857774941773	-0.401545306826715	-0.910999122129217	-0.129866854322996	-1.13728294201595	-1.21052099616047	0.269197710283242	0.0415252948040644	-0.781647007809606	-0.529520214525407	-1.0250717908252	0.0885280935366952	-1.08267544752252	-1.47505099969667	-0.287556217726083	-0.611935004564373	-0.077452792894422	-0.978281325398665	-0.651881336590491	0.0912052779383284	0.577576944700372	-0.566645328082837	-0.327166400029757	-0.0405648290182001
ENSG00000137203_LINE30_TFAP2A_D_N2	-1.03135386478093	-1.29646767082549	0.364755931249292	-0.0690572616191301	0.118560557634052	0.757095623453601	0.504081988343335	1.26508272163112	0.522689041487856	0.568281643539654	0.895971181105239	0.569787977210752	0.464955289786109	0.290157708826846	0.594237955870846	0.345573687710824	0.947275802469246	-0.783652122214432	-0.226536406398367	-1.374242824841	-0.790170028921301	-0.132613705087961	-0.906769845021121	-1.28202839682345	-0.839866567659737	-0.0048092962259186	-0.614232282503134	0.604244466332613	0.366930748412028	-0.23585421526498	0.0829178954899071	0.534372335188436	-0.177431683092318	0.5370448183838	-0.207913191070499	0.0151583604975036	0.789848661113237	0.066650323743833	-0.780821638724168	0.226712396586258	-0.130594388888433
ENSG00000137203_LINE21_TFAP2A_D_N1	-0.0838236718779254	0.148784703339433	-0.621641574802697	-0.449749385624711	0.931992263113132	-0.119229584551087	-0.266771073300386	-0.308830462688144	0.357473618688577	1.28872977436256	0.321589465161491	0.180157410676703	0.0473328183082179	0.390191246298503	-0.196801263166091	0.455797654005722	0.7352811753495	-0.949508487477925	0.0550916978097247	0.410652873850601	-0.382506641591731	-1.20813974800151	-0.730633194439789	-0.859702915842435	-1.05621019204917	0.0292654329624342	0.423655054736935	-0.988030401551005	-0.170789449362434	0.126309534523566	0.436355221864018	0.264175475168919	-0.350128997093206	0.0478876419632676	-0.608685341102371	0.0418915228421	-0.259287481571137	0.17989794209734	0.0677915629856294	0.447547971733365	1.06047989674435
ENSG00000116017_LINE44_ARID3A_D_N1	0.475827989773489	0.0942669616604737	-0.17521592480384	-0.498056989821683	0.0618086078900994	0.177532183377958	0.19662722729581	0.21156203526635	0.371874048293115	0.38947663417615	0.2540222281195	0.27004494439189	0.455825658538093	0.169955439510196	0.065424940042868	0.188931862275018	-0.11937697353241	0.249441415559236	-0.0109283137906092	-0.0980415752824898	-0.102205812755474	0.156427467504385	-0.345729106760625	-0.45252771859314	0.0226594050675271	0.312501669925985	-0.257957849930841	-0.2507178531057	-0.500174712817004	-0.406622542354577	0.167459593157354	-0.5559249453738	-0.198134705426912	-0.0613815147316138	-0.22982540603939	-0.406354432881846	0.0300741321670385	0.314323182036184	-0.333582546034968	0.597682218967552	-0.335568481354682
ENSG00000116017_LINE45_ARID3A_D_N1	0.116790279032115	0.835426891517549	0.538399285097568	0.252546157116383	0.114461720591816	0.0527699947260501	0.0503157094246049	0.125476834145269	0.305597155790878	-0.723890130532581	-0.0134990549060984	-0.0950510532345551	0.104209066713635	0.316098352998872	-0.545616718960082	-0.603783545021765	-0.939252407831033	0.0982927619545981	-0.441594974540888	-0.168832222364705	0.416028318394555	0.0975770665788487	-0.0347013734457641	0.424275012826432	0.907541321985898	-0.362017557410169	0.0172459737248062	0.61395739644754	-0.154711999585291	0.0309919551869934	-0.554046381106283	0.207449713788332	0.0339118073301224	-0.598424077011558	0.315723279781226	-0.115046295241239	-0.508643121048921	-0.586303941950888	0.146468855312467	-0.603187546642566	-0.117184024569635
ENSG00000150347_LINE49_ARID5B_D_N1	0.774951245965455	0.662632002538918	-0.0203428406722684	0.122618929525307	-0.0913604004968624	-0.546245674300922	0.09085573323419	0.248464062807591	-0.407649687048189	-0.192492882974574	-0.495221497109574	-0.421261684718054	0.0539788689609909	0.0840516035757985	0.565792446183949	0.0159700563812285	0.264436477982066	-0.564719872091954	-0.169605680676014	0.00386308400842876	0.277509455360531	-0.291613052033686	-0.125796634866418	0.108115126075041	0.205885303747296	0.206306467768087	-0.152314418189456	0.561924790146761	-0.803331377568395	0.484413277839238	0.0748405530376321	1.1648100713899	0.275815986348358	-0.40629563534346	-0.57450556262471	0.0457330416630524	-1.0611859783258	-0.867817831219749	0.656741134085333	0.240922146991557	-0.444598012682962
ENSG00000150347_LINE50_ARID5B_D_N1	0.142516455225334	0.298944931092715	-0.709239418915888	-0.347946255816319	1.09095725998632	0.234693545053144	-0.212832159903688	-0.122004477749633	-0.692452156684962	-0.549976880567338	-0.0242420822983612	0.0406515950968196	-0.355993453310116	-0.595168160589372	0.0199846519627755	-0.19787081355586	-0.396575761310343	-1.26231546902657	-0.310861562083181	0.0739550822626005	-0.214107014763851	-0.91997069315279	0.394709178636639	-0.0590000566881096	0.552628777308512	0.474159383507086	0.4409327836632	-0.719855719677869	-0.279705295223163	0.947763036983703	0.419832984944157	0.543275871710626	0.531143115623751	0.903268331336885	-0.0732456660597658	0.636293523270514	0.0984955155576361	0.0863875112575925	0.294786112263692	0.219297157561849	-0.333479572769017
