name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
ENSG00000090447_LINE103_TFAP4_D_N1	TFAP4	0.547632471679235	0.400849965259247	0.697838013232819	0.999994844283676	1
ENSG00000090447_LINE110_TFAP4_D_N1	TFAP4	0.651542151391407	0.514637313545932	0.776190995233193	0.999472726483143	1
ENSG00000100644_LINE115_HIF1A_D	HIF1A	0.823334177654336	0.652346216704251	0.972160073263441	0.940161740975608	1
ENSG00000101190_LINE116_TCFL5_I	TCFL5	0.559076079502273	0.453680423936174	0.640793198380078	0.999990697393621	1
ENSG00000105698_LINE126_USF2_D_N7	USF2	0.542601728436323	0.436115629150244	0.637769026370885	0.999996050120635	1
ENSG00000105967_LINE129_TFEC_D	TFEC	0.551172788675282	0.450575474569673	0.631093457450089	0.999993797046249	1
ENSG00000106546_LINE130_AHR_D_N1	AHR	0.507533644315931	0.411378641511724	0.592734005221811	0.999999455562128	1
ENSG00000106546_LINE133_AHR_D_N1	AHR	0.661659331781683	0.537851722954946	0.747139963663781	0.999236440983599	1
ENSG00000108788_LINE134_MLX_D	MLX	0.60965118584281	0.511656871859735	0.69154188665254	0.999901403337842	1
ENSG00000111046_LINE136_MYF6_D_N1	MYF6	0.767560556642572	0.625169742593429	0.875855085397742	0.982006234279432	1
ENSG00000111046_LINE137_MYF6_D_N1	MYF6	0.486543412361642	0.359182683062175	0.593472880475546	0.999999851219285	1
ENSG00000112246_LINE139_SIM1_I	SIM1	0.426139082439424	0.307068438081994	0.516675576375218	0.999999997906578	1
ENSG00000112561_LINE140_TFEB_D_N2	TFEB	0.518806171854582	0.428299803472329	0.591061856839465	0.999998945073067	1
ENSG00000113196_LINE142_HAND1_D	HAND1	0.606863216145077	0.4671889375768	0.714996926207448	0.999912568133245	1
ENSG00000114315_LINE146_HES1_D	HES1	0.645670714097318	0.505694406101854	0.754388913057688	0.999577228540548	1
ENSG00000115738_LINE147_ID2_I	ID2	0.579162259159082	0.469979567218044	0.669859610963679	0.999975101472552	1
ENSG00000116016_LINE149_EPAS1_D	EPAS1	0.781957042292134	0.63992419662355	0.905489972975147	0.97476889550042	1
ENSG00000116990_LINE150_MYCL1_I	MYCL1	0.468969857438072	0.370699737951849	0.551803960046877	0.999999953148909	1
ENSG00000117318_LINE151_ID3_I	ID3	0.467154757349915	0.356467225761999	0.561250032875686	0.999999958576284	1
ENSG00000118526_LINE152_TCF21_I	TCF21	0.585090818430562	0.467161837671281	0.678890661566625	0.999967105341138	1
ENSG00000119950_LINE154_MXI1_D_N1	MXI1	0.466959214653302	0.360009838633785	0.552793236810525	0.999999959123861	1
ENSG00000119950_LINE155_MXI1_D_N1	MXI1	0.600324230078789	0.460934617224079	0.713881714169043	0.999934332797111	1
ENSG00000119950_LINE156_MXI1_D_N1	MXI1	0.61537206054194	0.475985551094253	0.720267819924268	0.999874264559149	1
ENSG00000122180_LINE160_MYOG_D	MYOG	0.589568904883243	0.469313461651719	0.683538986437346	0.999959547663627	1
ENSG00000122691_LINE162_TWIST1_D	TWIST1	0.788181073146974	0.655411975652534	0.882028031009451	0.970977744063945	1
ENSG00000122859_LINE163_NEUROG3_I	NEUROG3	0.615094382233999	0.484077434835635	0.723545525442924	0.999875726459487	1
ENSG00000123095_LINE165_BHLHE41_D_N2	BHLHE41	0.545415704090829	0.430700160111889	0.637147021117211	0.999995412933773	1
ENSG00000123095_LINE167_BHLHE41_D_N1	BHLHE41	0.630078046145443	0.491185401722148	0.738820851621717	0.999769957292161	1
ENSG00000125533_LINE171_BHLHE23_D	BHLHE23	0.655929396029539	0.513339231279409	0.785907245297922	0.999379900937142	1
ENSG00000125878_LINE172_TCF15_I	TCF15	0.710951038897503	0.592669026515609	0.805850726279303	0.996118280006371	1
ENSG00000125968_LINE173_ID1_I	ID1	0.579162259159082	0.469979567218044	0.669859610963679	0.999975101472552	1
ENSG00000129152_LINE176_MYOD1_D_N3	MYOD1	0.560954809647443	0.445001708557383	0.655340230550692	0.999989772084901	1
ENSG00000130751_LINE178_NPAS1_I	NPAS1	0.426139082439424	0.307068438081994	0.516675576375218	0.999999997906578	1
ENSG00000133794_LINE179_ARNTL_D_N1	ARNTL	0.628538885121976	0.510581599154621	0.719138027054934	0.999783751139133	1
ENSG00000133794_LINE180_ARNTL_D_N1	ARNTL	0.665937085751617	0.52109019352805	0.773412562661711	0.999110486954687	1
ENSG00000134107_LINE183_BHLHE40_D_N3	BHLHE40	0.583166760347095	0.461342571561263	0.671317052817721	0.999969930374925	1
ENSG00000134323_LINE186_MYCN_D_N2	MYCN	0.558047104464398	0.474051894520446	0.626669808777408	0.999991170361897	1
ENSG00000134852_LINE191_CLOCK_D	CLOCK	0.692301776007415	0.567758584717665	0.783435361326032	0.997830036570193	1
ENSG00000135547_LINE193_HEY2_D_N2	HEY2	0.683523310308456	0.556081962451743	0.783174800529524	0.998372532760809	1
ENSG00000135547_LINE194_HEY2_D_N1	HEY2	0.634542840019279	0.491800465464606	0.743551074889137	0.999725259467245	1
ENSG00000136997_LINE202_MYC_D_N7	MYC	0.528465129976144	0.41642605278259	0.619016154837907	0.999998175055323	1
ENSG00000140262_LINE216_TCF12_D_N3	TCF12	0.45151115576109	0.341403244894244	0.546177420764624	0.999999986095908	1
ENSG00000143437_LINE220_ARNT_D_N2	ARNT	0.538629001785946	0.449059510806444	0.606728245765885	0.999996809342358	1
ENSG00000143437_LINE222_ARNT_D_N1	ARNT	0.685169269706497	0.542601328955887	0.796480502120718	0.998281144422048	1
ENSG00000146618_LINE224_FERD3L_I	FERD3L	0.612461974053933	0.509024393847357	0.696909787351607	0.999888828150916	1
ENSG00000151322_LINE225_NPAS3_I	NPAS3	0.426139082439424	0.307068438081994	0.516675576375218	0.999999997906578	1
ENSG00000158773_LINE237_USF1_D_N10	USF1	0.657691858590365	0.517437509393004	0.775247872157049	0.999338616952715	1
ENSG00000158773_LINE230_USF1_D_N2	USF1	0.664271751712798	0.52812643497933	0.783132423772896	0.999161591707618	1
ENSG00000159263_LINE238_SIM2_I	SIM2	0.426139082439424	0.307068438081994	0.516675576375218	0.999999997906578	1
ENSG00000162367_LINE243_TAL1_D_N1	TAL1	0.545277249046937	0.429303558149229	0.644563803707244	0.999995446419913	1
ENSG00000162367_LINE244_TAL1_D_N1	TAL1	0.611081533046432	0.490844414666052	0.708572857315784	0.999895178053972	1
ENSG00000162992_LINE247_NEUROD1_D	NEUROD1	0.790766642320689	0.635220744423908	0.922410866108276	0.969273058272068	1
ENSG00000163792_LINE248_TCF23_I	TCF23	0.608555661226309	0.481686570925356	0.70575945525772	0.99990593871424	1
ENSG00000163909_LINE249_HEYL_I	HEYL	0.513398758889042	0.355392702317175	0.656317082589356	0.999999229606582	1
ENSG00000164107_LINE250_HAND2_I	HAND2	0.606863216145077	0.4671889375768	0.714996926207448	0.999912568133245	1
ENSG00000164330_LINE251_EBF1_D_N2	EBF1	0.506811413349364	0.365519735394635	0.633772134414638	0.999999478581525	1
ENSG00000164330_LINE255_EBF1_D_N1	EBF1	0.804869119502188	0.618059618965895	0.976354984307756	0.958506827245768	1
ENSG00000164683_LINE258_HEY1_D	HEY1	0.627905678491813	0.512628022236806	0.717891467490887	0.999789202543959	1
ENSG00000166823_LINE260_MESP1_D	MESP1	0.478780728885203	0.352493767490262	0.600625935777652	0.999999909972406	1
ENSG00000168267_LINE261_PTF1A_D	PTF1A	0.708472743392559	0.546767967511787	0.846224424328673	0.996398791572784	1
ENSG00000168874_LINE262_ATOH8_I	ATOH8	0.652063496473696	0.534816377501199	0.761114301357222	0.999462398266798	1
ENSG00000170485_LINE263_NPAS2_I	NPAS2	0.5961026272769	0.455386370594539	0.727443321006407	0.999945593806266	1
